timestamp,header,name,position,velocity,effort
1769100595086651584,"{'stamp': {'sec': 1769100595, 'nanosec': 77765478}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595136685877,"{'stamp': {'sec': 1769100595, 'nanosec': 127882449}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595194487393,"{'stamp': {'sec': 1769100595, 'nanosec': 177717492}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595237631496,"{'stamp': {'sec': 1769100595, 'nanosec': 227703740}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595289916566,"{'stamp': {'sec': 1769100595, 'nanosec': 277751969}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595342528965,"{'stamp': {'sec': 1769100595, 'nanosec': 327874607}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595391756870,"{'stamp': {'sec': 1769100595, 'nanosec': 380838242}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595437574847,"{'stamp': {'sec': 1769100595, 'nanosec': 427674305}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595490754010,"{'stamp': {'sec': 1769100595, 'nanosec': 477614960}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595539154121,"{'stamp': {'sec': 1769100595, 'nanosec': 527778728}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595585760477,"{'stamp': {'sec': 1769100595, 'nanosec': 577649253}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595639589640,"{'stamp': {'sec': 1769100595, 'nanosec': 627681575}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595684842778,"{'stamp': {'sec': 1769100595, 'nanosec': 678029547}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595736931103,"{'stamp': {'sec': 1769100595, 'nanosec': 727939887}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100595789539065,"{'stamp': {'sec': 1769100595, 'nanosec': 777628966}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
