Time (s),X (m),Y (m),Yaw (deg)
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.375,0.0,0.0,0.0
0.375,0.0,0.0,0.0
0.375,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.625,0.0,0.0,0.0
0.625,0.0,0.0,0.0
0.625,0.0,0.0,0.0
0.75,0.0,0.0,-0.02
0.75,0.0,0.0,0.0
0.876,0.0,0.0,0.0
0.876,0.0,0.0,-0.02
0.876,0.0001,0.0,-0.04
1.0,0.0001,-0.0,-0.08
1.0,0.0003,-0.0,-0.16
1.125,0.0007,-0.0,-0.18
1.125,0.0012,-0.0,-0.14
1.125,0.0017,-0.0,-0.09
1.25,0.0024,-0.0,-0.06
1.25,0.0027,-0.0,-0.07
1.375,0.003,-0.0,-0.06
1.375,0.0036,-0.0,-0.06
1.375,0.0041,-0.0,-0.01
1.5,0.0047,-0.0,-0.05
1.5,0.005,-0.0,-0.07
1.626,0.0053,-0.0,-0.07
1.626,0.0057,-0.0,-0.05
1.626,0.0062,-0.0,0.01
1.751,0.0067,-0.0,0.05
1.751,0.0074,-0.0,0.05
1.876,0.0078,-0.0,0.05
1.876,0.0082,-0.0,0.02
1.876,0.0087,-0.0,0.07
2.001,0.0092,-0.0,0.1
2.001,0.0098,-0.0,0.1
2.126,0.0108,-0.0,0.06
2.126,0.0116,-0.0,0.07
2.126,0.0125,-0.0,0.1
2.251,0.0137,0.0,0.1
2.251,0.0145,0.0,0.1
2.376,0.0154,0.0,0.11
2.376,0.0165,0.0,0.11
2.376,0.0174,0.0,0.13
2.501,0.0183,0.0,0.13
2.501,0.0195,0.0,0.18
2.626,0.0204,0.0,0.18
2.626,0.0212,0.0,0.14
2.626,0.0225,0.0,0.2
2.751,0.0233,0.0,0.22
2.751,0.0242,0.0,0.22
2.876,0.0255,0.0,0.25
2.876,0.0264,0.0,0.27
2.876,0.0272,0.0,0.25
3.001,0.0285,0.0,0.21
3.001,0.0295,0.0,0.17
-1769097855.258,0.001,0.0,-0.04
3.126,0.0019,-0.0,-0.02
3.126,0.0304,0.0001,0.19
3.126,0.0036,-0.0,-0.04
3.126,0.0321,0.0001,0.17
3.126,0.0048,-0.0,-0.02
3.126,0.0333,0.0001,0.19
3.251,0.0062,-0.0,-0.01
3.251,0.0347,0.0001,0.2
3.251,0.0365,0.0001,0.2
3.251,0.008,-0.0,-0.01
3.376,0.0093,-0.0,-0.06
3.376,0.0378,0.0001,0.15
3.376,0.0111,-0.0,-0.05
3.376,0.0396,0.0001,0.16
3.376,0.0125,-0.0,-0.09
3.376,0.041,0.0001,0.12
3.501,0.0137,-0.0,-0.13
3.501,0.0422,0.0001,0.08
3.501,0.0159,-0.0,-0.18
3.501,0.0444,0.0001,0.03
3.626,0.0461,0.0001,0.01
3.626,0.0176,-0.0,-0.2
3.626,0.0492,0.0001,0.05
3.626,0.0207,-0.0,-0.16
3.626,0.023,-0.0,-0.22
3.626,0.0515,0.0001,-0.02
3.751,0.054,0.0001,-0.04
3.751,0.0255,-0.0,-0.25
3.751,0.0293,-0.0001,-0.3
3.751,0.0578,0.0001,-0.09
3.876,0.0608,0.0001,-0.15
3.876,0.0323,-0.0001,-0.36
3.876,0.0352,-0.0001,-0.38
3.876,0.0637,0.0001,-0.17
3.876,0.0402,-0.0001,-0.42
3.876,0.0687,0.0001,-0.21
4.001,0.072,0.0,-0.25
4.001,0.0435,-0.0002,-0.46
4.001,0.0753,0.0,-0.25
4.001,0.0468,-0.0002,-0.46
4.126,0.0806,0.0,-0.23
4.126,0.0521,-0.0002,-0.44
4.126,0.0842,-0.0,-0.24
4.126,0.0557,-0.0003,-0.45
4.126,0.0879,-0.0,-0.21
4.126,0.0594,-0.0003,-0.42
4.251,0.0936,-0.0,-0.17
4.251,0.0651,-0.0003,-0.38
4.251,0.0691,-0.0004,-0.38
4.251,0.0976,-0.0001,-0.17
4.377,0.0755,-0.0004,-0.26
4.377,0.104,-0.0001,-0.05
4.377,0.0797,-0.0004,-0.28
4.377,0.1082,-0.0001,-0.07
4.377,0.1122,-0.0001,0.03
4.377,0.0837,-0.0004,-0.18
4.502,0.1186,-0.0001,0.06
4.502,0.0901,-0.0004,-0.15
4.502,0.1226,-0.0001,0.03
4.502,0.0941,-0.0005,-0.18
4.627,0.0983,-0.0005,-0.13
4.627,0.1268,-0.0001,0.08
4.627,0.133,-0.0001,0.06
4.627,0.1045,-0.0005,-0.15
4.627,0.137,-0.0001,0.01
4.627,0.1085,-0.0005,-0.2
4.751,0.1434,-0.0001,0.01
4.751,0.1149,-0.0005,-0.19
4.751,0.1475,-0.0001,0.04
4.751,0.119,-0.0005,-0.17
4.877,0.1517,-0.0001,0.06
4.877,0.1232,-0.0005,-0.15
4.877,0.1583,-0.0,-0.0
4.877,0.1298,-0.0006,-0.21
4.877,0.1625,-0.0,-0.06
4.877,0.134,-0.0006,-0.27
5.001,0.1384,-0.0006,-0.3
5.001,0.1669,-0.0001,-0.09
5.001,0.1448,-0.0006,-0.41
5.001,0.1733,-0.0001,-0.2
5.127,0.1776,-0.0001,-0.26
5.127,0.1491,-0.0007,-0.47
5.127,0.1839,-0.0001,-0.26
5.127,0.1554,-0.0007,-0.47
5.127,0.1597,-0.0008,-0.61
5.127,0.1882,-0.0001,-0.4
5.252,0.1924,-0.0002,-0.4
5.252,0.1639,-0.0008,-0.6
5.252,0.1967,-0.0002,-0.37
5.252,0.1682,-0.0008,-0.58
5.377,0.2028,-0.0002,-0.31
5.377,0.1743,-0.0009,-0.52
5.377,0.207,-0.0002,-0.19
5.377,0.1785,-0.0009,-0.41
5.377,0.2132,-0.0003,-0.1
5.377,0.1847,-0.001,-0.31
5.502,0.2174,-0.0003,-0.04
5.502,0.1889,-0.001,-0.25
5.502,0.2215,-0.0003,0.08
5.502,0.193,-0.001,-0.13
5.627,0.2277,-0.0003,0.15
5.627,0.1992,-0.001,-0.05
5.627,0.2318,-0.0003,0.18
5.627,0.2033,-0.001,-0.02
5.627,0.2098,-0.001,-0.03
5.627,0.2383,-0.0002,0.18
5.751,0.214,-0.001,0.04
5.751,0.2425,-0.0002,0.25
5.751,0.2184,-0.001,-0.05
5.751,0.2469,-0.0002,0.16
5.877,0.2227,-0.001,-0.07
5.877,0.2512,-0.0002,0.13
5.877,0.2291,-0.0011,-0.13
5.877,0.2576,-0.0002,0.08
5.877,0.2617,-0.0002,0.04
5.877,0.2332,-0.0011,-0.17
6.001,0.2681,-0.0002,-0.06
6.001,0.2396,-0.0011,-0.27
6.001,0.2439,-0.0011,-0.26
6.001,0.2724,-0.0002,-0.05
6.127,0.2482,-0.0011,-0.26
6.127,0.2767,-0.0002,-0.05
6.127,0.2831,-0.0002,-0.15
6.127,0.2546,-0.0012,-0.36
6.127,0.2875,-0.0002,-0.14
6.127,0.259,-0.0012,-0.35
6.252,0.2919,-0.0002,-0.14
6.252,0.2634,-0.0012,-0.35
6.252,0.2962,-0.0002,-0.16
6.252,0.2677,-0.0012,-0.37
6.377,0.2742,-0.0013,-0.35
6.377,0.3027,-0.0002,-0.14
6.377,0.3069,-0.0002,-0.08
6.377,0.2784,-0.0013,-0.29
6.377,0.3112,-0.0002,-0.04
6.377,0.2827,-0.0013,-0.25
6.502,0.3175,-0.0002,-0.07
6.502,0.289,-0.0013,-0.27
6.502,0.3217,-0.0002,0.02
6.502,0.2932,-0.0014,-0.18
6.627,0.3259,-0.0002,0.06
6.627,0.2974,-0.0014,-0.15
6.627,0.3037,-0.0014,-0.11
6.627,0.3323,-0.0002,0.1
6.627,0.308,-0.0014,-0.11
6.627,0.3365,-0.0002,0.09
6.752,0.3407,-0.0002,0.2
6.752,0.3122,-0.0014,-0.01
6.752,0.3471,-0.0002,0.19
6.752,0.3186,-0.0014,-0.02
6.877,0.3513,-0.0002,0.16
6.877,0.3228,-0.0014,-0.05
6.877,0.3272,-0.0014,-0.02
6.877,0.3557,-0.0002,0.19
6.877,0.3337,-0.0014,-0.08
6.877,0.3622,-0.0002,0.13
7.002,0.3666,-0.0001,0.05
7.002,0.3381,-0.0014,-0.16
7.002,0.371,-0.0001,0.06
7.002,0.3425,-0.0014,-0.15
7.127,0.3775,-0.0001,-0.09
7.127,0.349,-0.0015,-0.3
7.127,0.3531,-0.0015,-0.37
7.127,0.3816,-0.0001,-0.16
7.127,0.3595,-0.0015,-0.51
