Time (s),X (m),Y (m),Yaw (deg)
0.28,0.0001,-0.0002,0.01
0.481,-0.0001,-0.0003,0.0
0.681,0.0,-0.0001,-0.0
0.882,0.0001,-0.0,-0.02
1.083,0.0001,-0.0002,-0.02
1.284,0.001,-0.0001,-0.12
1.484,0.0028,-0.0003,-0.04
1.685,0.0048,-0.0001,-0.06
1.886,0.0064,-0.0,0.05
2.086,0.0083,-0.0001,0.07
2.287,0.0111,-0.0,0.07
2.488,0.015,-0.0002,0.1
2.688,0.0193,-0.0001,0.16
2.889,0.0232,-0.0,0.19
3.09,0.0273,-0.0004,0.23
3.29,0.0321,-0.0002,0.15
3.491,0.0376,-0.0003,0.13
3.692,0.0442,-0.0003,0.02
3.892,0.026,-0.0002,-0.2
4.093,0.0686,-0.0002,-0.2
4.294,0.0569,-0.0009,-0.26
4.494,0.1037,-0.0007,-0.06
4.695,0.0967,-0.002,0.02
4.896,0.1157,-0.0011,-0.1
5.097,0.1357,-0.0038,-0.01
5.297,0.157,-0.0025,-0.16
5.498,0.1761,-0.0045,-0.14
5.699,0.194,-0.0027,0.02
5.9,0.219,-0.002,0.04
6.1,0.235,-0.0035,0.0
6.301,0.2874,-0.0011,-0.12
6.502,0.3068,-0.0011,-0.07
6.702,0.2941,-0.0045,0.0
6.903,0.3191,-0.004,0.09
7.104,0.3401,-0.0055,0.04
7.304,0.3612,-0.0073,-0.06
7.505,0.3801,-0.007,-0.06
7.706,0.4252,-0.0058,0.15
7.906,0.4466,-0.0061,0.16
8.107,0.4395,-0.0073,0.18
8.308,0.4605,-0.0088,0.07
8.508,0.5045,-0.0098,0.04
8.709,0.4964,-0.0042,-0.01
8.91,0.547,-0.0009,0.3
9.111,0.5375,-0.0024,-0.0
9.311,0.5598,-0.0041,-0.13
9.512,0.6066,-0.0016,-0.12
9.713,0.6255,-0.0009,0.07
9.913,0.6467,-0.0021,0.22
10.114,0.6658,-0.0018,0.25
10.315,0.6859,-0.0043,0.15
10.515,0.7059,-0.0051,0.01
10.716,0.726,-0.0043,0.11
10.917,0.7452,-0.004,0.34
11.117,0.7384,-0.0052,0.19
11.318,0.7846,-0.0053,0.17
11.519,0.7788,-0.0093,0.11
11.72,0.8249,-0.0077,0.24
11.92,0.8445,-0.0104,0.28
12.121,0.8385,-0.009,0.39
12.322,0.8828,-0.0118,0.26
12.522,0.9052,-0.0097,0.12
12.723,0.9228,-0.0098,0.2
12.924,0.916,-0.0099,0.24
13.124,0.9374,-0.0126,0.29
13.325,0.9799,-0.0135,0.22
13.526,0.9732,-0.0146,0.14
13.726,0.996,-0.0145,0.13
13.927,1.042,-0.0161,0.24
14.128,1.0635,-0.0078,0.3
14.328,1.0836,-0.007,0.23
14.529,1.1049,-0.0077,0.09
14.73,1.1263,-0.0109,0.09
14.93,1.1186,-0.0104,0.12
15.131,1.1342,-0.0082,0.17
15.332,1.1566,-0.0065,0.19
15.532,1.2042,-0.0107,0.17
15.733,1.2233,-0.0122,0.05
15.933,1.2169,-0.0125,0.14
16.134,1.263,-0.0136,0.35
16.335,1.2844,-0.0148,0.38
16.535,1.2779,-0.0143,0.26
16.736,1.298,-0.0121,0.14
16.937,1.3177,-0.0146,0.24
17.137,1.363,-0.0152,0.32
17.338,1.3552,-0.0133,0.4
17.539,1.376,-0.013,0.25
17.739,1.3968,-0.0164,0.11
17.94,1.4147,-0.0169,0.2
18.141,1.4618,-0.0178,0.45
18.342,1.4802,-0.0194,0.39
18.542,1.4977,-0.0212,0.41
18.743,1.5005,-0.0194,0.34
18.944,1.529,-0.0199,0.32
19.144,1.541,-0.0203,0.41
19.345,1.5621,-0.0223,0.5
19.546,1.5598,-0.0083,0.26
19.746,1.5947,-0.0083,0.05
19.947,1.6461,-0.0119,0.09
20.148,1.6346,-0.0114,0.14
20.348,1.6554,-0.0094,0.23
20.549,1.6737,-0.0114,0.32
20.75,1.7254,-0.0115,0.19
20.95,1.7421,-0.0167,0.06
21.151,1.7649,-0.0152,0.19
21.352,1.7527,-0.0154,0.32
21.552,1.7764,-0.0169,0.24
21.753,1.8169,-0.0184,0.19
21.953,1.804,-0.0173,0.08
22.154,1.8368,-0.0164,0.16
22.355,1.8833,-0.0154,0.3
22.555,1.8983,-0.019,0.38
22.756,1.8898,-0.0185,0.29
22.957,1.9328,-0.0232,0.15
23.157,1.9413,-0.0176,0.23
23.358,1.9497,-0.0197,0.28
23.559,1.9862,-0.0183,0.31
23.759,2.0119,-0.0179,0.24
23.96,2.0057,-0.0213,0.24
24.161,2.0196,-0.0208,0.14
24.361,2.0625,-0.0217,0.28
24.562,2.0943,-0.0151,0.2
24.763,2.1196,-0.0136,0.2
24.963,2.1317,-0.0138,0.02
25.164,2.1506,-0.0185,-0.02
25.365,2.1717,-0.0171,0.1
25.565,2.1689,-0.0154,0.08
25.766,2.2062,-0.0175,0.11
25.967,2.2051,-0.0191,-0.03
26.167,2.222,-0.0187,-0.06
26.368,2.2402,-0.0188,0.02
26.569,2.2815,-0.0219,0.19
26.77,2.3058,-0.0206,0.13
26.97,2.2943,-0.0222,0.05
27.171,2.3431,-0.0208,0.03
27.371,2.3677,-0.0234,0.03
27.572,2.3703,-0.0259,0.18
27.773,2.4229,-0.0259,0.15
27.973,2.4464,-0.0262,0.04
28.174,2.4668,-0.0316,0.03
28.375,2.4979,-0.028,0.17
28.575,2.5333,-0.0295,0.21
28.776,2.528,-0.0271,0.25
28.977,2.573,-0.0325,0.16
29.177,2.6193,-0.0227,-0.03
29.378,2.6208,-0.0179,-0.02
29.579,2.6626,-0.0223,0.09
29.779,2.6922,-0.0249,0.17
29.98,2.6966,-0.0265,0.02
30.181,2.7307,-0.0302,-0.02
30.381,2.7611,-0.0302,-0.03
30.582,2.7836,-0.0366,0.09
31.585,2.8857,-0.0382,0.21
32.589,2.9503,-0.0428,0.23
33.793,3.0804,-0.0453,0.22
35.197,3.3077,-0.0486,0.2
35.799,3.3415,-0.0486,0.24
36.401,3.4244,-0.0513,0.19
37.003,3.477,-0.0526,0.34
37.806,3.5428,-0.0506,0.24
38.608,3.6134,-0.05,0.25
39.01,3.6693,-0.0414,0.22
39.612,3.7458,-0.0482,0.15
40.214,3.7976,-0.0453,0.27
40.815,3.862,-0.0504,0.17
41.417,3.9121,-0.0495,0.38
42.019,3.9817,-0.049,0.37
42.621,4.0549,-0.0529,0.22
43.223,4.1058,-0.052,0.31
43.825,4.1755,-0.0575,0.06
44.628,4.2587,-0.0589,-1.61
45.43,4.3172,-0.074,-1.77
46.233,4.409,-0.0935,-1.62
47.036,4.4758,-0.0995,-1.6
48.039,4.5922,-0.1198,-1.55
48.842,4.649,-0.1214,-1.66
49.644,4.7428,-0.1305,-1.52
50.648,4.8554,-0.1297,-0.51
51.25,4.8928,-0.1347,-0.6
51.651,4.9463,-0.1342,-0.58
52.253,5.0019,-0.1399,-0.68
52.855,5.0604,-0.1439,-0.72
53.457,5.1101,-0.1485,-0.67
53.858,5.1806,-0.1518,-0.62
54.46,5.2362,-0.153,-0.69
55.062,5.292,-0.1572,-0.78
55.464,5.3212,-0.1523,-0.43
55.865,5.3834,-0.154,-0.3
56.266,5.4197,-0.1542,-0.42
56.868,5.4703,-0.159,-0.4
57.069,5.476,-0.1606,-0.5
57.671,5.5495,-0.1609,-0.4
58.273,5.6068,-0.1635,-0.37
58.674,5.6288,-0.1674,-0.46
59.075,5.7005,-0.1635,-0.5
59.477,5.7408,-0.1656,-0.49
59.878,5.7867,-0.1692,-0.42
60.279,5.8331,-0.1736,-0.55
60.881,5.8836,-0.1726,-0.32
61.283,5.8942,-0.1789,-0.47
61.684,5.9427,-0.1832,-0.34
62.286,5.989,-0.1843,-0.36
62.687,6.0311,-0.188,-0.35
63.089,6.1064,-0.1855,-0.46
63.49,6.1224,-0.1916,-0.36
64.092,6.2011,-0.1913,-0.35
64.493,6.2473,-0.195,-0.52
65.095,6.2677,-0.2009,-0.28
65.496,6.3176,-0.2028,-0.4
66.098,6.3998,-0.2029,-0.22
66.5,6.4426,-0.2076,-0.45
66.901,6.4832,-0.2115,-0.41
67.503,6.5307,-0.2123,-0.54
67.904,6.5824,-0.2155,-0.4
68.506,6.6335,-0.2193,-0.35
68.908,6.6855,-0.2218,-0.36
69.51,6.738,-0.224,-0.38
70.112,6.7906,-0.2253,-0.25
70.714,6.8492,-0.2289,-0.33
70.914,6.9054,-0.2292,-0.35
71.316,6.9265,-0.2443,-0.1
71.918,6.9893,-0.245,-0.25
72.924,7.0828,-0.2464,-0.39
73.523,7.1391,-0.2482,-0.21
74.125,7.1897,-0.2514,-0.35
74.526,7.2382,-0.2522,-0.13
75.329,7.3117,-0.2569,-0.13
