Time (s),X (m),Y (m),Yaw (deg)
0.352,0.0203,0.0007,0.2
0.553,0.0453,0.0001,0.08
0.754,0.0633,0.0001,-0.16
0.954,0.0818,0.0013,-0.14
1.155,0.1031,-0.0016,-0.04
1.356,0.1401,-0.001,0.15
1.556,0.1353,-0.002,0.11
1.757,0.1361,-0.0006,0.05
1.958,0.1883,-0.0023,-0.01
2.158,0.1942,-0.0028,-0.07
2.359,0.2331,-0.0026,0.16
2.56,0.2436,-0.0035,-0.03
2.76,0.2458,0.0004,-0.07
2.961,0.2844,-0.0016,-0.2
3.162,0.3195,-0.0018,-0.17
3.362,0.3228,0.0003,0.03
3.563,0.3526,-0.0003,0.02
3.764,0.3694,-0.0031,-0.03
3.964,0.3522,0.0004,-0.22
4.165,0.3608,-0.0015,-0.17
4.366,0.4173,-0.0043,0.15
4.566,0.3919,-0.0057,0.13
4.767,0.4262,-0.0093,0.15
4.968,0.4571,-0.0081,0.01
5.168,0.4668,-0.0111,0.08
5.369,0.4898,-0.0082,0.22
5.569,0.501,-0.0086,0.18
5.77,0.5199,-0.0112,0.07
5.971,0.5814,-0.0137,0.03
6.172,0.5477,-0.0078,-0.14
6.372,0.579,-0.0105,-0.1
6.573,0.5978,-0.0145,-0.12
6.774,0.6042,-0.0135,0.04
6.974,0.6596,-0.0167,0.16
7.175,0.6679,-0.0149,0.08
7.375,0.6959,-0.0161,-0.13
7.576,0.737,-0.018,0.14
7.777,0.7378,-0.024,0.09
7.978,0.7274,-0.0265,0.0
8.178,0.7648,-0.0266,-0.11
8.379,0.7875,-0.0288,0.02
8.579,0.8009,-0.031,0.14
8.78,0.8334,-0.0328,0.09
8.981,0.8692,-0.0357,0.11
9.181,0.8929,-0.0365,-0.0
9.382,0.9195,-0.0346,-0.11
9.583,0.934,-0.0363,0.03
9.784,0.9343,-0.0398,0.18
9.984,0.9259,-0.0368,-0.04
10.185,0.981,-0.0407,-0.11
10.386,0.9729,-0.0357,-0.22
10.586,0.9847,-0.0349,-0.04
10.787,1.0103,-0.0385,0.09
10.988,1.0552,-0.0439,-0.12
11.188,1.0775,-0.0417,-0.13
11.389,1.1452,-0.046,-0.11
11.589,1.1709,-0.0423,0.14
11.79,1.1811,-0.0404,0.01
11.991,1.2152,-0.0453,-0.1
12.191,1.2338,-0.0489,-0.11
12.392,1.2677,-0.0467,-0.3
12.593,1.2645,-0.0473,-0.2
12.793,1.2823,-0.0429,0.24
12.994,1.3083,-0.0414,-0.01
13.195,1.3459,-0.0406,-0.06
13.395,1.3392,-0.0389,-0.21
13.596,1.3856,-0.0376,-0.06
13.797,1.3929,-0.0425,0.11
13.997,1.4377,-0.0461,0.07
14.198,1.4122,-0.0406,0.11
14.399,1.4532,-0.0411,-0.26
14.599,1.4687,-0.0414,-0.01
14.8,1.4899,-0.0366,0.1
15.001,1.4913,-0.0311,0.07
15.201,1.5065,-0.0374,-0.02
15.402,1.5349,-0.038,-0.27
15.603,1.5604,-0.0386,-0.15
15.803,1.6003,-0.0468,-0.02
16.004,1.6285,-0.0491,0.01
16.205,1.6443,-0.0508,0.11
16.405,1.6527,-0.0493,-0.09
16.606,1.6717,-0.0541,-0.02
16.807,1.7128,-0.0524,0.04
17.007,1.7616,-0.0589,0.02
17.208,1.7663,-0.0567,0.01
17.409,1.8025,-0.0542,-0.05
17.609,1.8174,-0.0547,0.04
17.81,1.8545,-0.0532,-0.07
18.011,1.8794,-0.054,0.16
18.813,1.9574,-0.0612,-0.06
19.415,2.039,-0.0701,0.14
19.817,2.0632,-0.0754,-0.0
20.017,2.1228,-0.0756,0.17
20.419,2.1281,-0.0766,0.05
20.619,2.1901,-0.0798,0.01
21.021,2.2185,-0.0833,0.14
21.422,2.2441,-0.076,0.09
21.623,2.2839,-0.081,-0.06
22.024,2.3102,-0.0719,-0.01
22.224,2.3449,-0.0759,0.15
22.626,2.3718,-0.075,0.13
23.027,2.4184,-0.0731,0.04
23.228,2.4484,-0.0765,0.06
23.629,2.474,-0.0719,0.02
23.83,2.4945,-0.0721,-0.04
24.231,2.54,-0.0704,0.15
24.632,2.5782,-0.0777,0.11
25.033,2.6221,-0.0761,0.0
25.435,2.6518,-0.0759,0.09
25.836,2.6772,-0.078,-0.11
26.237,2.7367,-0.082,0.05
26.438,2.7605,-0.0839,0.23
27.04,2.8275,-0.0854,-0.25
27.441,2.8552,-0.088,-0.84
27.843,2.8903,-0.0978,-1.15
28.645,2.999,-0.1083,-0.79
29.047,3.0295,-0.1145,-0.44
29.448,3.0878,-0.1192,0.04
29.849,3.112,-0.1214,-0.13
30.25,3.1363,-0.1227,-0.07
30.652,3.1845,-0.1182,0.0
31.053,3.2392,-0.1198,-0.15
31.655,3.2687,-0.1239,-0.04
32.056,3.3187,-0.1258,-0.04
32.658,3.3426,-0.1326,0.09
33.26,3.4255,-0.1367,-0.0
33.662,3.4395,-0.1383,0.12
34.264,3.5268,-0.1378,-0.05
34.665,3.5841,-0.1392,0.18
35.066,3.625,-0.1398,-0.16
35.468,3.6508,-0.1421,-0.03
35.668,3.6775,-0.1404,0.08
36.07,3.724,-0.1408,-0.1
36.27,3.7613,-0.1409,-0.13
36.672,3.7959,-0.14,0.16
37.073,3.8272,-0.1427,0.2
37.274,3.8247,-0.1451,0.14
37.675,3.8499,-0.1413,0.02
38.277,3.9144,-0.1452,-0.11
38.678,3.9684,-0.1458,-0.07
39.08,4.0163,-0.1483,-0.05
39.28,4.0381,-0.1462,-0.26
39.682,4.0677,-0.149,-0.04
39.882,4.0795,-0.1503,0.17
40.083,4.105,-0.151,0.02
40.685,4.1381,-0.1526,-0.18
40.886,4.1471,-0.1477,-0.02
41.086,4.1502,-0.1461,-0.11
41.889,4.2136,-0.1496,0.02
43.895,4.45,-0.154,0.08
44.698,4.5204,-0.1599,-0.15
46.303,4.6936,-0.1661,0.02
47.106,4.7659,-0.1671,-0.01
47.909,4.8801,-0.169,0.02
48.31,4.9018,-0.1698,0.09
49.112,4.9891,-0.1748,-0.01
49.715,5.0673,-0.1772,0.11
50.116,5.1159,-0.1799,0.09
50.517,5.1176,-0.1808,0.05
51.52,5.2209,-0.1837,0.08
52.122,5.2424,-0.1887,-0.18
53.326,5.3788,-0.1918,0.03
54.129,5.4951,-0.1955,-0.11
55.132,5.6363,-0.1988,-0.07
55.737,5.693,-0.2006,0.04
56.738,5.7565,-0.204,-0.05
57.139,5.7694,-0.2073,-0.27
58.142,5.84,-0.2093,-0.24
58.945,5.9611,-0.212,0.07
59.346,6.0097,-0.2114,-0.1
59.948,6.0447,-0.2189,-0.04
60.751,6.1536,-0.2217,-0.02
61.152,6.179,-0.2201,-0.27
61.754,6.243,-0.2287,-0.1
62.356,6.3463,-0.2293,-0.3
63.359,6.4195,-0.2319,-0.33
63.761,6.4588,-0.2328,0.09
64.162,6.4886,-0.2353,-0.12
64.563,6.5279,-0.2381,-0.06
64.965,6.5756,-0.24,0.04
65.567,6.652,-0.239,-0.11
65.968,6.6608,-0.2429,-0.16
66.57,6.7466,-0.2504,0.44
66.971,6.7761,-0.2564,1.09
67.372,6.8492,-0.2633,0.57
67.774,6.8702,-0.2652,0.17
68.175,6.9267,-0.2686,0.19
68.777,6.9577,-0.2714,-0.17
69.178,6.984,-0.2689,0.04
69.58,7.0285,-0.2736,-0.06
69.981,7.0785,-0.2769,0.05
70.382,7.1204,-0.2794,0.04
70.784,7.1793,-0.2808,-0.16
71.386,7.2329,-0.2825,-0.02
71.787,7.2747,-0.2833,-0.07
72.188,7.2938,-0.2844,0.11
72.59,7.3398,-0.2843,-0.19
