Time (s),X (m),Y (m),Yaw (deg)
-1769097853.243,0.0023,0.0,-0.05
-1769097853.243,0.0039,-0.0,-0.07
-1769097853.243,0.0017,0.0,-0.02
-1769097853.243,0.007,-0.0,-0.04
-1769097853.243,0.0047,-0.0,0.01
5.726,0.007,-0.0,-0.05
5.726,0.0093,-0.0,-0.1
5.726,0.0118,-0.0,-0.12
5.726,0.0095,-0.0,-0.07
5.726,0.0156,-0.0,-0.17
5.726,0.0134,-0.0,-0.12
5.726,0.0164,-0.0,-0.18
5.726,0.0186,-0.0,-0.24
5.726,0.0193,-0.0,-0.2
5.726,0.0216,-0.0,-0.25
5.976,0.0265,-0.0001,-0.29
5.976,0.0243,-0.0,-0.24
5.976,0.0276,-0.0001,-0.28
5.976,0.0299,-0.0001,-0.34
5.976,0.0331,-0.0001,-0.34
5.976,0.0309,-0.0001,-0.28
5.976,0.0362,-0.0001,-0.27
5.976,0.0384,-0.0001,-0.32
5.976,0.042,-0.0002,-0.32
5.976,0.0397,-0.0001,-0.26
6.226,0.0458,-0.0002,-0.29
6.226,0.0435,-0.0001,-0.24
6.226,0.0492,-0.0002,-0.21
6.226,0.0514,-0.0002,-0.26
6.226,0.0532,-0.0002,-0.21
6.226,0.0554,-0.0002,-0.26
6.226,0.0618,-0.0002,-0.13
6.226,0.0596,-0.0002,-0.08
6.226,0.0638,-0.0002,-0.1
6.226,0.066,-0.0003,-0.15
6.476,0.07,-0.0003,-0.06
6.476,0.0678,-0.0002,-0.01
6.476,0.0742,-0.0002,0.03
6.476,0.0764,-0.0003,-0.02
6.476,0.0782,-0.0002,-0.0
6.476,0.0804,-0.0003,-0.05
6.476,0.0846,-0.0003,-0.01
6.476,0.0824,-0.0002,0.04
6.476,0.0908,-0.0003,-0.02
6.476,0.0886,-0.0002,0.03
6.726,0.0948,-0.0003,-0.08
6.726,0.0926,-0.0002,-0.03
6.726,0.1012,-0.0003,-0.07
6.726,0.099,-0.0002,-0.02
6.726,0.1053,-0.0003,-0.04
6.726,0.1031,-0.0002,0.01
6.726,0.1095,-0.0003,-0.03
6.726,0.1073,-0.0002,0.02
6.726,0.1162,-0.0003,-0.09
6.726,0.1139,-0.0002,-0.04
6.976,0.1203,-0.0003,-0.14
6.976,0.118,-0.0002,-0.09
6.976,0.1247,-0.0003,-0.16
6.976,0.1225,-0.0002,-0.12
6.976,0.1312,-0.0003,-0.28
6.976,0.1289,-0.0002,-0.23
6.976,0.1355,-0.0004,-0.35
6.976,0.1332,-0.0002,-0.29
6.976,0.1417,-0.0004,-0.35
6.976,0.1395,-0.0003,-0.31
7.226,0.1461,-0.0004,-0.49
7.226,0.1438,-0.0003,-0.44
7.226,0.148,-0.0003,-0.43
7.226,0.1503,-0.0005,-0.47
7.226,0.1523,-0.0004,-0.4
7.226,0.1545,-0.0005,-0.45
7.226,0.1583,-0.0004,-0.34
7.226,0.1606,-0.0005,-0.39
7.226,0.1626,-0.0004,-0.23
7.226,0.1648,-0.0006,-0.28
7.477,0.1688,-0.0005,-0.13
7.477,0.1711,-0.0006,-0.18
7.477,0.173,-0.0005,-0.08
7.477,0.1753,-0.0006,-0.13
7.477,0.1794,-0.0006,-0.0
7.477,0.1771,-0.0005,0.05
7.477,0.1833,-0.0005,0.12
7.477,0.1856,-0.0006,0.07
7.477,0.1896,-0.0006,0.1
7.477,0.1874,-0.0005,0.15
7.726,0.1961,-0.0006,0.1
7.726,0.1939,-0.0004,0.17
7.726,0.2003,-0.0006,0.17
7.726,0.1981,-0.0004,0.22
7.726,0.2025,-0.0004,0.12
7.726,0.2047,-0.0006,0.07
7.726,0.2067,-0.0004,0.1
7.726,0.209,-0.0006,0.05
7.726,0.2131,-0.0004,0.05
7.726,0.2154,-0.0006,-0.0
7.976,0.2172,-0.0004,0.0
7.976,0.2195,-0.0006,-0.05
7.976,0.2237,-0.0004,-0.1
7.976,0.2259,-0.0006,-0.15
7.976,0.228,-0.0004,-0.09
7.976,0.2302,-0.0006,-0.14
7.976,0.2323,-0.0004,-0.09
7.976,0.2345,-0.0006,-0.14
7.976,0.241,-0.0006,-0.23
7.976,0.2387,-0.0004,-0.19
8.226,0.2453,-0.0006,-0.23
8.226,0.2431,-0.0004,-0.17
8.226,0.2475,-0.0004,-0.17
8.226,0.2497,-0.0007,-0.23
8.226,0.2518,-0.0004,-0.19
8.226,0.2541,-0.0007,-0.24
8.226,0.2606,-0.0007,-0.22
8.226,0.2583,-0.0005,-0.17
8.226,0.2647,-0.0007,-0.17
8.226,0.2625,-0.0005,-0.12
8.476,0.2691,-0.0007,-0.12
8.476,0.2668,-0.0005,-0.07
8.476,0.2754,-0.0007,-0.15
8.476,0.2731,-0.0005,-0.1
8.476,0.2796,-0.0007,-0.07
8.476,0.2773,-0.0005,-0.02
8.476,0.2838,-0.0007,-0.02
8.476,0.2815,-0.0005,0.03
8.476,0.2878,-0.0005,0.07
8.476,0.2901,-0.0007,0.02
8.726,0.2921,-0.0005,0.06
8.726,0.2943,-0.0007,0.01
8.726,0.2963,-0.0005,0.16
8.726,0.2986,-0.0007,0.12
8.726,0.3027,-0.0005,0.16
8.726,0.3049,-0.0007,0.11
8.726,0.3069,-0.0005,0.13
8.726,0.3091,-0.0007,0.08
8.726,0.3113,-0.0004,0.16
8.726,0.3135,-0.0007,0.11
8.976,0.3178,-0.0004,0.1
8.976,0.3201,-0.0007,0.05
8.976,0.3222,-0.0004,0.02
8.976,0.3245,-0.0007,-0.03
8.976,0.3288,-0.0007,-0.03
8.976,0.3266,-0.0004,0.03
8.976,0.333,-0.0004,-0.12
8.976,0.3353,-0.0007,-0.17
8.976,0.3372,-0.0004,-0.19
8.976,0.3395,-0.0007,-0.25
9.226,0.3436,-0.0005,-0.33
9.226,0.3459,-0.0008,-0.39
9.226,0.3477,-0.0005,-0.33
9.226,0.3499,-0.0008,-0.38
9.226,0.3542,-0.0008,-0.42
9.226,0.3519,-0.0005,-0.36
9.226,0.3603,-0.0009,-0.32
9.226,0.3581,-0.0005,-0.25
9.226,0.3645,-0.0009,-0.25
9.226,0.3623,-0.0006,-0.19
9.476,0.3665,-0.0006,-0.17
9.476,0.3687,-0.0009,-0.22
9.476,0.3729,-0.0006,-0.03
9.476,0.3752,-0.0009,-0.08
9.476,0.3795,-0.0009,-0.07
9.476,0.3773,-0.0006,-0.01
9.476,0.3815,-0.0006,0.12
9.476,0.3838,-0.0009,0.06
9.476,0.388,-0.0006,0.17
9.476,0.3902,-0.0009,0.12
9.726,0.3921,-0.0006,0.2
9.726,0.3944,-0.0009,0.15
9.726,0.3964,-0.0005,0.2
9.726,0.3987,-0.0009,0.15
9.726,0.4051,-0.0009,0.06
9.726,0.4028,-0.0005,0.11
9.726,0.4068,-0.0005,0.17
9.726,0.409,-0.0009,0.12
9.726,0.4111,-0.0005,0.12
9.726,0.4134,-0.0009,0.07
9.976,0.4197,-0.0009,0.08
9.976,0.4174,-0.0005,0.14
9.976,0.4218,-0.0005,0.09
9.976,0.424,-0.0009,0.04
9.976,0.4283,-0.0009,0.07
9.976,0.4261,-0.0005,0.13
9.976,0.4346,-0.0008,-0.02
9.976,0.4324,-0.0005,0.02
9.976,0.439,-0.0008,-0.05
9.976,0.4368,-0.0005,0.0
10.226,0.4454,-0.0009,-0.12
10.226,0.4432,-0.0005,-0.07
10.226,0.4498,-0.0009,-0.12
10.226,0.4475,-0.0005,-0.07
10.226,0.4518,-0.0005,-0.12
10.226,0.4541,-0.0009,-0.17
10.226,0.4606,-0.0009,-0.18
10.226,0.4583,-0.0005,-0.13
10.226,0.4648,-0.0009,-0.17
10.226,0.4626,-0.0005,-0.11
10.476,0.4668,-0.0005,-0.13
10.476,0.4691,-0.0009,-0.18
10.476,0.4731,-0.0005,-0.13
10.476,0.4754,-0.0009,-0.18
10.476,0.4771,-0.0005,-0.1
10.476,0.4793,-0.0009,-0.15
10.476,0.4811,-0.0005,-0.02
10.476,0.4833,-0.001,-0.08
10.476,0.4873,-0.0005,0.09
10.476,0.4896,-0.001,0.04
10.726,0.4914,-0.0005,0.16
10.726,0.4937,-0.001,0.12
10.726,0.4978,-0.001,0.15
10.726,0.4956,-0.0005,0.21
10.726,0.5044,-0.0009,0.23
10.726,0.5021,-0.0005,0.29
10.726,0.5085,-0.0009,0.16
10.726,0.5063,-0.0005,0.21
10.726,0.5149,-0.0009,0.2
10.726,0.5127,-0.0004,0.25
10.976,0.5193,-0.0009,0.14
10.976,0.5171,-0.0004,0.19
10.976,0.5234,-0.0009,0.08
10.976,0.5211,-0.0004,0.14
10.976,0.5299,-0.0009,0.01
10.976,0.5276,-0.0004,0.06
10.976,0.532,-0.0004,-0.08
10.976,0.5342,-0.0009,-0.13
10.976,0.5385,-0.0009,-0.18
10.976,0.5363,-0.0004,-0.13
11.226,0.5427,-0.0004,-0.2
11.226,0.545,-0.0009,-0.26
11.226,0.547,-0.0004,-0.18
11.226,0.5493,-0.0009,-0.23
