Time (s),X (m),Y (m),Yaw (deg)
0.088,0.0,0.0,0.0
14.537,0.8387,-0.0308,0.73
23.768,1.7188,-0.0459,2.05
32.998,2.6185,-0.0319,3.46
42.228,3.5162,0.0014,4.4
51.458,4.4138,-0.0086,-1.68
60.689,5.3234,-0.0692,-1.82
69.919,6.2139,-0.1297,-1.68
79.15,7.1424,-0.1868,-1.78
88.38,8.0514,-0.205,1.55
97.61,8.9409,-0.2369,-2.04
106.84,9.82,-0.301,-0.6
116.071,10.69,-0.364,5.5
125.301,11.5847,-0.3266,4.3
134.531,12.5109,-0.385,-23.2
143.962,13.1682,-1.0347,-60.73
153.193,13.5802,-1.881,-70.88
162.423,13.6092,-2.7834,-93.96
171.654,13.499,-3.6818,-97.24
180.884,13.4057,-4.59,-92.61
190.114,13.3598,-5.5474,-85.3
199.344,13.3565,-6.4469,-89.93
208.575,13.3148,-7.3265,-91.25
217.805,13.2541,-8.2061,-92.41
227.036,13.1736,-9.1259,-94.02
236.266,13.0749,-10.0538,-91.58
245.497,13.0133,-10.9333,-93.24
254.728,12.9327,-11.8307,-94.35
263.958,12.5726,-12.6667,-139.09
272.987,11.6983,-12.9273,171.67
281.416,10.8095,-12.7566,175.96
289.843,9.8925,-12.6671,176.4
298.271,8.9752,-12.5874,176.2
306.699,8.0566,-12.5075,176.4
315.127,7.1782,-12.4409,176.33
323.555,6.2505,-12.3545,176.76
332.183,5.3093,-12.2733,176.79
340.611,4.4302,-12.2238,177.23
349.039,3.5422,-12.1608,177.67
357.467,2.6528,-12.1141,177.57
366.095,1.714,-12.0503,178.74
374.523,0.8193,-11.926,153.93
382.951,0.0912,-11.4426,163.35
391.379,-0.8223,-11.1909,159.15
399.807,-1.4513,-10.5562,110.4
407.633,-1.5144,-9.7455,91.93
415.258,-1.524,-8.8341,92.97
422.884,-1.5727,-7.9262,93.51
430.509,-1.6076,-7.0569,95.1
438.134,-1.6578,-6.1292,96.46
445.759,-1.7085,-5.2648,84.47
453.384,-1.5025,-4.3981,78.36
460.608,-1.4386,-3.5171,91.72
467.832,-1.4266,-2.6205,89.04
475.056,-1.352,-1.7348,84.66
482.279,-1.1861,-0.8362,70.52
489.503,-0.6008,-0.1019,29.69
496.727,0.2775,0.0628,-3.16
503.951,1.1146,-0.0752,-8.37
511.174,1.9279,-0.0023,17.58
518.398,2.7736,0.1496,-3.59
