Time (s),X (m),Y (m),Yaw (deg)
0.373,0.0,0.0,0.0
0.373,0.0,0.0,0.0
0.373,0.0,0.0,0.0
0.373,0.0,0.0,0.02
0.373,0.0,-0.0,0.0
0.373,0.0,-0.0,0.0
0.373,0.0,-0.0,0.02
0.373,0.0,-0.0,0.0
0.373,0.0,-0.0,0.0
0.373,0.0,-0.0,0.02
0.373,0.0,-0.0,0.0
0.373,0.0,-0.0,0.0
0.373,0.0,-0.0,0.0
0.373,0.0,-0.0,0.0
0.373,0.0,-0.0,0.02
0.373,0.0,-0.0,0.0
0.873,0.0,-0.0,0.0
0.873,0.0,-0.0,0.0
0.873,0.0,-0.0,0.0
0.873,0.0,-0.0,0.0
0.873,0.0,-0.0,0.0
0.873,0.0,-0.0,0.02
0.873,0.0,-0.0,0.0
0.873,0.0,-0.0,0.0
0.873,0.0,-0.0,0.0
0.873,0.0,-0.0,0.0
1.373,0.0,-0.0,0.0
1.373,0.0,-0.0,0.0
1.373,0.0,-0.0,0.0
1.373,0.0,-0.0,0.02
1.373,0.0,-0.0,0.0
1.373,0.0,-0.0,0.0
1.373,0.0,-0.0,0.0
1.373,0.0,-0.0,0.0
1.373,0.0,-0.0,0.0
1.373,0.0,-0.0,0.0
1.874,0.0,-0.0,0.02
1.874,0.0,-0.0,0.0
1.874,0.0,-0.0,0.0
1.874,0.0,-0.0,0.0
1.874,0.0,-0.0,0.0
1.874,0.0,-0.0,0.0
1.874,0.0,-0.0,0.0
1.874,0.0,-0.0,0.0
1.874,0.0,-0.0,0.0
1.874,0.0,-0.0,0.0
2.374,0.0,-0.0,0.0
2.374,0.0,-0.0,0.0
2.374,0.0,-0.0,0.0
2.374,0.0,-0.0,0.0
2.374,0.0,-0.0,0.0
2.374,0.0,-0.0,0.0
2.374,0.0,-0.0,0.02
2.374,0.0,-0.0,0.0
2.374,0.0,-0.0,0.0
2.374,0.0,-0.0,0.0
2.873,0.0,-0.0,0.0
2.873,0.0,-0.0,0.0
2.873,0.0,-0.0,0.0
2.873,0.0,-0.0,0.0
2.873,0.0,-0.0,0.0
2.873,0.0,-0.0,0.0
2.873,0.0,-0.0,0.0
2.873,0.0,-0.0,0.0
2.873,0.0,-0.0,0.0
2.873,0.0,-0.0,0.0
3.374,0.0,-0.0,0.02
