Time (s),X (m),Y (m),Yaw (deg)
23.403,2.8357,0.1586,22.8
28.62,3.6823,0.5863,16.8
31.229,4.1541,0.633,-10.93
36.446,4.9232,0.2176,-14.2
41.665,5.8122,0.264,11.96
46.881,6.7376,0.4385,15.53
52.098,7.6307,0.6807,18.74
57.516,8.4959,0.9623,13.08
62.735,9.3802,1.1138,9.43
65.544,9.8979,1.1776,7.15
70.759,10.7893,1.1334,-9.5
75.976,11.6512,1.2891,5.51
81.193,12.5535,1.3396,0.58
83.802,13.005,1.2494,-27.59
86.41,13.3574,0.9785,-56.88
91.627,13.6353,0.1103,-85.01
97.045,13.7061,-0.8474,-80.06
99.854,13.8,-1.2501,-29.19
125.939,14.3703,-1.7279,-63.5
131.96,14.6579,-2.5824,-73.98
138.18,14.7504,-3.5275,-102.21
144.4,14.5579,-4.4213,-83.88
150.42,14.6581,-5.2809,-76.53
156.44,14.8652,-6.1835,-64.25
162.661,15.384,-6.8939,-50.3
168.682,15.7252,-7.6101,-76.47
174.901,15.8243,-8.4936,-97.02
180.921,15.6475,-9.3322,-100.35
186.941,15.4547,-10.198,-102.08
192.961,15.0735,-10.9781,-133.52
198.982,14.3106,-11.4253,-165.3
205.003,13.4532,-11.536,-173.4
211.02,12.5922,-11.6415,-168.06
217.039,11.6823,-11.7876,-170.58
223.059,10.8341,-11.9031,-172.24
229.079,9.9868,-11.9765,-168.34
235.099,9.1547,-12.1,-173.45
241.118,8.2964,-12.1658,-168.01
247.138,7.419,-12.3655,-162.85
253.158,6.5543,-12.6305,-169.38
259.178,5.696,-12.7681,-167.76
265.198,4.842,-12.9271,-177.71
271.219,3.9814,-12.8193,173.86
277.239,3.1067,-12.7208,178.15
283.459,2.1981,-12.5219,149.65
289.479,1.5014,-11.9814,139.5
295.498,0.9432,-11.2831,118.98
301.518,0.6747,-10.4842,104.4
307.538,0.5355,-9.6433,96.54
313.558,0.4939,-8.7608,89.53
319.578,0.4739,-7.8854,94.64
325.597,0.4506,-6.9864,96.23
331.619,0.3698,-6.1166,104.94
337.638,0.1057,-5.3222,110.02
343.657,-0.1423,-4.5279,111.15
349.677,-0.3736,-3.6715,90.24
355.696,-0.3528,-2.8064,99.2
361.716,-0.3015,-1.882,68.35
367.937,0.2795,-1.1753,32.89
373.957,1.09,-0.9295,6.6
379.977,1.9427,-0.7716,27.93
