Time (s),X (m),Y (m),Yaw (deg)
0.0,0.0,0.0,0.02
0.0,0.0,0.0,0.02
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.03,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.02
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.02
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.28,0.0,-0.0,0.0
0.53,0.0,-0.0,0.0
0.53,0.0,-0.0,0.0
0.53,0.0,-0.0,0.0
0.53,0.0,-0.0,0.0
0.53,0.0,-0.0,0.0
0.53,0.0,-0.0,0.0
0.53,0.0,-0.0,0.0
0.53,0.0,-0.0,0.0
0.53,0.0,-0.0,0.0
0.53,0.0,-0.0,0.0
0.78,0.0,-0.0,0.0
0.78,0.0,-0.0,0.0
0.78,0.0,-0.0,0.0
0.78,0.0,-0.0,0.0
0.78,0.0,-0.0,0.0
0.78,0.0,-0.0,0.0
0.78,0.0,-0.0,0.02
0.78,0.0,-0.0,0.02
0.78,0.0,-0.0,0.0
0.78,0.0,-0.0,0.0
1.03,0.0,-0.0,0.0
1.03,0.0,-0.0,0.0
1.03,0.0,-0.0,0.0
1.03,0.0,-0.0,0.0
1.03,0.0,-0.0,0.0
1.03,0.0,-0.0,0.0
1.03,0.0,-0.0,0.0
1.03,0.0,-0.0,0.0
1.03,0.0,-0.0,0.0
1.03,0.0,-0.0,0.0
1.28,0.0,-0.0,0.0
1.28,0.0,-0.0,0.0
1.28,0.0,-0.0,0.0
1.28,0.0,-0.0,0.0
1.28,0.0,-0.0,0.0
1.28,0.0,-0.0,0.0
1.28,0.0,-0.0,0.0
1.28,0.0,-0.0,0.0
1.28,0.0,-0.0,0.0
1.28,0.0,-0.0,0.0
1.53,0.0,-0.0,0.0
1.53,0.0,-0.0,0.0
1.53,0.0,-0.0,0.0
1.53,0.0,-0.0,0.0
1.53,0.0,-0.0,0.0
1.53,0.0,-0.0,0.0
1.53,0.0,-0.0,0.0
1.53,0.0,-0.0,0.0
1.53,0.0,-0.0,0.0
1.53,0.0,-0.0,0.0
1.78,0.0,-0.0,0.0
1.78,0.0,-0.0,0.0
1.78,0.0,-0.0,0.0
1.78,0.0,-0.0,0.0
1.78,0.0,-0.0,0.0
1.78,0.0,-0.0,0.0
1.78,0.0,-0.0,0.0
1.78,0.0,-0.0,0.0
1.78,0.0,-0.0,0.0
1.78,0.0,-0.0,0.0
2.03,0.0,-0.0,0.0
2.03,0.0,-0.0,0.0
2.03,0.0,-0.0,0.0
2.03,0.0,-0.0,0.0
2.03,0.0,-0.0,0.0
2.03,0.0,-0.0,0.0
2.03,0.0,-0.0,0.0
2.03,0.0,-0.0,0.0
2.03,0.0,-0.0,0.0
2.03,0.0,-0.0,0.0
2.28,0.0,-0.0,0.0
2.28,0.0,-0.0,0.0
2.28,0.0,-0.0,0.0
2.28,0.0,-0.0,0.0
2.28,0.0,-0.0,0.0
2.28,0.0,-0.0,0.0
2.28,0.0,-0.0,0.0
2.28,0.0,-0.0,0.0
2.28,0.0,-0.0,0.0
2.28,0.0,-0.0,0.0
2.53,0.0,-0.0,0.0
2.53,0.0,-0.0,0.0
2.53,0.0,-0.0,0.0
2.53,0.0,-0.0,0.0
2.53,0.0,-0.0,0.0
2.53,0.0,-0.0,0.0
2.53,0.0,-0.0,0.0
2.53,0.0,-0.0,0.0
2.53,0.0,-0.0,0.0
2.53,0.0,-0.0,0.0
2.78,0.0,-0.0,0.0
2.78,0.0,-0.0,0.0
2.78,0.0,-0.0,0.0
2.78,0.0,-0.0,0.0
2.78,0.0,-0.0,0.0
2.78,0.0,-0.0,0.0
2.78,0.0,-0.0,0.0
2.78,0.0,-0.0,0.0
2.78,0.0,-0.0,0.0
2.78,0.0,-0.0,0.0
3.03,0.0,-0.0,0.02
3.03,0.0,-0.0,0.02
3.03,0.0,-0.0,0.0
3.03,0.0,-0.0,0.0
3.03,0.0,-0.0,0.0
3.03,0.0,-0.0,0.0
3.03,0.0,-0.0,0.0
3.03,0.0,-0.0,0.0
3.03,0.0,-0.0,0.0
3.03,0.0,-0.0,0.0
3.28,0.0,-0.0,0.02
3.28,0.0,-0.0,0.02
3.28,0.0,-0.0,0.02
3.28,0.0,-0.0,0.02
3.28,0.0001,0.0,0.06
3.28,0.0001,0.0,0.06
3.28,0.0003,0.0,0.06
3.28,0.0003,0.0,0.06
3.28,0.0006,0.0,0.06
3.28,0.0006,0.0,0.06
3.53,0.0013,0.0,-0.08
3.53,0.0013,0.0,-0.08
3.53,0.0017,0.0,-0.12
3.53,0.0017,0.0,-0.12
3.53,0.0022,-0.0,-0.14
3.53,0.0022,-0.0,-0.14
3.53,0.0028,-0.0,-0.08
3.53,0.0028,-0.0,-0.08
3.53,0.0032,-0.0,-0.07
3.53,0.0032,-0.0,-0.07
3.78,0.0037,-0.0,-0.08
3.78,0.0037,-0.0,-0.08
3.78,0.0048,-0.0,-0.12
3.78,0.0048,-0.0,-0.12
3.78,0.0056,-0.0,-0.12
3.78,0.0056,-0.0,-0.12
3.78,0.0064,-0.0,-0.12
3.78,0.0064,-0.0,-0.12
3.78,0.0078,-0.0,-0.16
3.78,0.0078,-0.0,-0.16
4.03,0.0086,-0.0,-0.12
4.03,0.0086,-0.0,-0.12
4.03,0.0094,-0.0,-0.14
4.03,0.0094,-0.0,-0.14
4.03,0.0107,-0.0,-0.13
4.03,0.0107,-0.0,-0.13
4.03,0.0115,-0.0,-0.06
4.03,0.0115,-0.0,-0.06
4.03,0.0123,-0.0,-0.04
4.03,0.0123,-0.0,-0.04
4.28,0.0136,-0.0,-0.02
4.28,0.0136,-0.0,-0.02
4.28,0.0144,-0.0,-0.0
4.28,0.0144,-0.0,-0.0
4.28,0.0156,-0.0,-0.04
4.28,0.0156,-0.0,-0.04
4.28,0.0165,-0.0,-0.03
4.28,0.0165,-0.0,-0.03
4.28,0.0173,-0.0,-0.04
4.28,0.0173,-0.0,-0.04
4.53,0.0186,-0.0,-0.1
4.53,0.0186,-0.0,-0.1
4.53,0.0194,-0.0,-0.08
4.53,0.0194,-0.0,-0.08
4.53,0.0203,-0.0,-0.06
4.53,0.0203,-0.0,-0.06
4.53,0.0217,-0.0,-0.08
4.53,0.0217,-0.0,-0.08
4.53,0.0227,-0.0,-0.09
4.53,0.0227,-0.0,-0.09
4.78,0.0239,-0.0,-0.09
4.78,0.0239,-0.0,-0.09
4.78,0.0256,-0.0,-0.09
4.78,0.0256,-0.0,-0.09
4.78,0.0268,-0.0,-0.07
4.78,0.0268,-0.0,-0.07
4.78,0.028,-0.0,-0.05
4.78,0.028,-0.0,-0.05
4.78,0.0298,-0.0,-0.08
4.78,0.0298,-0.0,-0.08
5.03,0.0311,-0.0,-0.1
5.03,0.0311,-0.0,-0.1
5.03,0.0323,-0.0,-0.16
5.03,0.0323,-0.0,-0.16
5.03,0.0342,-0.0,-0.16
5.03,0.0342,-0.0,-0.16
5.03,0.0356,-0.0001,-0.14
5.03,0.0356,-0.0001,-0.14
5.03,0.038,-0.0001,-0.14
5.03,0.038,-0.0001,-0.14
5.28,0.0401,-0.0001,-0.16
5.28,0.0401,-0.0001,-0.16
5.28,0.0424,-0.0001,-0.2
5.28,0.0424,-0.0001,-0.2
5.28,0.0465,-0.0001,-0.22
5.28,0.0465,-0.0001,-0.22
5.28,0.0498,-0.0001,-0.21
5.28,0.0498,-0.0001,-0.21
5.28,0.0533,-0.0001,-0.22
5.28,0.0533,-0.0001,-0.22
5.53,0.0593,-0.0001,-0.26
5.53,0.0593,-0.0001,-0.26
5.53,0.0637,-0.0002,-0.24
5.53,0.0637,-0.0002,-0.24
5.53,0.0682,-0.0002,-0.3
5.53,0.0682,-0.0002,-0.3
5.53,0.0752,-0.0002,-0.36
5.53,0.0752,-0.0002,-0.36
5.53,0.08,-0.0002,-0.37
5.53,0.08,-0.0002,-0.38
5.78,0.0852,-0.0003,-0.44
5.78,0.0852,-0.0003,-0.44
5.78,0.093,-0.0003,-0.44
5.78,0.093,-0.0003,-0.44
5.78,0.0982,-0.0004,-0.47
5.78,0.0982,-0.0004,-0.47
5.78,0.1033,-0.0004,-0.47
5.78,0.1033,-0.0004,-0.49
5.78,0.1112,-0.0005,-0.47
5.78,0.1112,-0.0005,-0.47
6.03,0.1167,-0.0005,-0.41
6.03,0.1167,-0.0005,-0.41
6.03,0.1221,-0.0006,-0.31
6.03,0.1221,-0.0006,-0.31
6.03,0.1306,-0.0006,-0.22
6.03,0.1306,-0.0006,-0.22
6.03,0.1364,-0.0006,-0.1
6.03,0.1364,-0.0006,-0.1
6.03,0.1423,-0.0007,-0.09
6.03,0.1423,-0.0007,-0.09
6.28,0.1515,-0.0007,-0.06
6.28,0.1515,-0.0007,-0.06
6.28,0.1579,-0.0007,-0.13
6.28,0.1579,-0.0007,-0.13
6.28,0.1642,-0.0007,-0.17
6.28,0.1642,-0.0007,-0.17
6.28,0.1739,-0.0007,-0.26
6.28,0.1739,-0.0007,-0.26
6.28,0.1804,-0.0008,-0.37
6.28,0.1804,-0.0008,-0.37
6.53,0.1871,-0.0008,-0.4
6.53,0.1871,-0.0008,-0.4
6.53,0.1968,-0.0009,-0.5
6.53,0.1968,-0.0009,-0.5
6.53,0.2038,-0.0009,-0.46
6.53,0.2038,-0.0009,-0.46
6.53,0.2107,-0.001,-0.39
6.53,0.2107,-0.001,-0.4
6.53,0.2214,-0.0011,-0.38
6.53,0.2214,-0.0011,-0.38
6.78,0.2285,-0.0011,-0.29
6.78,0.2285,-0.0011,-0.27
6.78,0.2353,-0.0011,-0.29
6.78,0.2353,-0.0011,-0.29
