Time (s),X (m),Y (m),Yaw (deg)
2.922,-0.0,-0.0001,0.0
3.122,0.0,-0.0001,0.0
3.323,0.0,-0.0,0.01
3.525,0.0007,-0.0001,0.05
3.724,0.0026,-0.0,-0.07
3.925,0.0054,0.0,-0.1
4.126,0.0094,-0.0,-0.14
4.327,0.0136,-0.0,-0.02
4.527,0.0175,-0.0,-0.04
4.728,0.0216,-0.0001,-0.07
4.929,0.0269,0.0001,-0.06
5.129,0.0325,-0.0,-0.14
5.33,0.04,-0.0001,-0.14
5.531,0.0533,-0.0001,-0.2
5.731,0.0751,-0.0002,-0.33
5.932,0.0983,-0.0004,-0.43
6.133,0.1221,-0.0006,-0.28
6.334,0.1514,-0.0008,-0.06
6.535,0.1804,-0.0008,-0.33
6.735,0.2108,-0.001,-0.36
6.936,0.246,-0.0012,-0.29
7.137,0.2804,-0.0014,-0.42
7.338,0.317,-0.0018,-0.69
7.538,0.3586,-0.0022,-0.25
7.739,0.3965,-0.0024,-0.42
7.94,0.4381,-0.0027,-0.35
8.141,0.4761,-0.0029,-0.24
8.342,0.5149,-0.0031,-0.46
8.542,0.5573,-0.0035,-0.25
8.743,0.5956,-0.0036,-0.22
8.944,0.6256,-0.0037,-0.38
9.145,0.6467,-0.0039,-0.2
9.346,0.6852,-0.0039,-0.1
9.546,0.7235,-0.0042,-0.25
9.747,0.7829,-0.0042,0.01
9.948,0.8248,-0.0042,-0.12
10.149,0.8545,-0.0043,0.14
10.349,0.863,-0.0043,0.24
10.55,0.951,-0.0043,-0.12
10.75,0.9935,-0.0042,0.21
10.951,1.0306,-0.0041,0.01
11.152,1.0676,-0.0042,0.2
11.355,1.1161,-0.004,-0.01
11.754,1.1846,-0.004,0.19
11.954,1.2203,-0.004,-0.05
12.155,1.2663,-0.0041,-0.0
12.356,1.2999,-0.004,0.05
12.556,1.3391,-0.0041,-0.33
12.757,1.373,-0.0044,-0.02
12.958,1.4076,-0.0043,-0.0
13.158,1.4468,-0.0045,-0.19
13.359,1.4812,-0.0045,-0.02
13.56,1.5161,-0.0045,-0.01
13.761,1.5542,-0.0047,-0.51
13.961,1.5885,-0.0049,-0.15
14.162,1.6231,-0.005,-0.22
14.362,1.6619,-0.0053,-0.65
14.563,1.6962,-0.0056,-0.17
14.764,1.7233,-0.0057,-0.37
14.964,1.77,-0.0063,-0.5
15.165,1.8041,-0.0065,-0.37
15.366,1.8391,-0.0066,-0.39
15.566,1.8775,-0.007,-0.61
15.767,1.9117,-0.0073,-0.26
15.968,1.9466,-0.0075,-0.67
16.168,1.9854,-0.008,-0.79
16.369,2.0197,-0.0084,-0.39
16.569,2.0546,-0.0087,-0.71
16.77,2.093,-0.0093,-0.42
16.971,2.1274,-0.0093,-0.43
17.171,2.1627,-0.0096,-0.01
17.372,2.201,-0.0093,1.43
17.573,2.2347,-0.0081,2.79
17.773,2.2697,-0.0061,3.88
17.974,2.3081,-0.0031,5.25
18.175,2.3424,0.0004,6.8
18.375,2.3769,0.0047,7.47
18.576,2.415,0.0101,9.13
18.777,2.4489,0.0159,10.42
18.977,2.4833,0.0226,11.48
19.178,2.5204,0.0305,12.91
19.379,2.553,0.0383,14.26
19.58,2.5902,0.048,15.35
19.78,2.6235,0.0574,16.53
19.981,2.6592,0.0685,18.2
20.182,2.6926,0.0797,19.2
20.382,2.7251,0.0913,20.33
20.583,2.7611,0.1052,21.98
20.783,2.7934,0.1184,22.82
20.984,2.8255,0.1321,24.1
21.185,2.8564,0.1464,25.72
21.385,2.8915,0.1637,26.66
21.586,2.9222,0.1794,27.94
21.787,2.9523,0.1958,29.4
21.987,2.9862,0.2154,30.55
22.188,3.0154,0.2329,31.69
22.389,3.047,0.2529,30.07
22.589,3.0757,0.2722,30.98
22.79,3.1067,0.2938,35.59
22.991,3.1342,0.3139,37.17
23.191,3.162,0.3352,37.77
23.392,3.192,0.3587,38.17
23.593,3.2186,0.3797,38.46
23.793,3.2459,0.4015,38.33
23.994,3.2765,0.4254,37.99
24.195,3.3037,0.4464,37.11
24.395,3.332,0.4675,35.52
24.596,3.3634,0.4894,34.26
24.797,3.3921,0.5087,33.4
24.997,3.4215,0.5275,31.59
25.198,3.4539,0.5472,24.8
25.399,3.4836,0.5641,22.76
25.599,3.5248,0.5848,20.11
25.8,3.5486,0.5956,20.78
26.001,3.5813,0.6087,18.51
26.201,3.6171,0.6213,17.75
26.402,3.6499,0.6312,15.63
26.602,3.6948,0.6425,11.95
26.803,3.7279,0.6492,7.22
27.004,3.7283,0.6494,5.83
27.204,3.79,0.6578,4.45
27.405,3.8278,0.6605,1.72
27.606,3.8977,0.6611,-2.21
27.806,3.9091,0.6611,-0.47
28.007,4.12,0.6229,-17.72
28.208,4.1345,0.6182,-17.03
28.408,4.16,0.6091,-18.99
28.609,4.1949,0.595,-21.01
28.81,4.2193,0.5841,-22.88
29.01,4.2434,0.5722,-27.45
29.211,4.2596,0.5636,-25.8
29.412,4.2828,0.5506,-27.38
29.612,4.3053,0.537,-32.26
29.816,4.3213,0.5268,-30.31
30.016,4.3426,0.5121,-35.48
30.214,4.358,0.5011,-32.71
30.415,4.379,0.4855,-33.51
30.616,4.3941,0.4737,-38.25
30.816,4.4063,0.4641,-38.73
31.017,4.4151,0.4571,-38.7
31.218,4.4299,0.4452,-38.31
31.419,4.4863,0.4005,-38.56
31.619,4.513,0.3792,-38.42
31.82,4.5404,0.3576,-38.29
32.02,4.5711,0.3334,-37.47
32.221,4.5984,0.313,-35.89
32.422,4.6269,0.2927,-34.74
32.622,4.6557,0.2731,-33.73
32.823,4.6875,0.2524,-32.06
33.024,4.7162,0.2347,-31.01
33.224,4.7494,0.2151,-29.59
33.425,4.7794,0.199,-21.98
33.626,4.7892,0.1938,-26.42
33.826,4.845,0.1683,-19.34
34.027,4.8804,0.1556,-15.87
34.228,4.9128,0.1463,-12.68
34.428,4.9467,0.1384,-9.85
34.629,4.983,0.1324,-5.86
34.83,5.0161,0.129,-1.63
35.031,5.0162,0.1292,-3.39
35.232,5.0624,0.128,0.9
35.432,5.1261,0.1322,6.53
35.633,5.1605,0.137,9.32
35.834,5.1954,0.143,8.69
36.035,5.1953,0.1432,10.73
36.235,5.2666,0.1583,10.35
36.436,5.2666,0.1585,10.35
36.637,5.3194,0.1703,11.36
36.837,5.3457,0.1763,10.3
37.041,5.3874,0.1858,11.2
37.439,5.4773,0.2059,11.4
37.64,5.485,0.2075,11.36
37.841,5.5106,0.2132,12.47
38.041,5.5809,0.2292,12.42
38.242,5.6151,0.2365,12.57
38.443,5.6521,0.2449,12.81
38.643,5.6863,0.253,8.32
38.844,5.6862,0.2529,8.32
39.045,5.7904,0.2762,11.22
39.245,5.8165,0.2819,10.16
39.446,5.8616,0.2921,11.61
39.648,5.8881,0.2981,11.33
39.847,5.9222,0.3057,12.54
40.048,5.9406,0.3098,11.51
40.249,5.9671,0.3158,11.45
40.449,5.993,0.3217,11.29
40.65,6.0195,0.3272,11.17
40.851,6.0378,0.3317,9.23
41.051,6.0787,0.3407,10.3
41.252,6.1055,0.3469,10.23
41.453,6.1687,0.3612,11.63
41.653,6.2217,0.3732,12.59
41.854,6.255,0.3804,9.5
42.055,6.255,0.3808,9.5
42.255,6.3008,0.3908,10.28
42.456,6.327,0.3966,10.34
42.656,6.3603,0.4048,10.61
42.857,6.4061,0.4148,10.18
43.058,6.4465,0.4244,13.12
43.258,6.4727,0.4305,13.12
43.459,6.5352,0.4449,12.87
43.659,6.5688,0.4523,13.1
43.86,6.607,0.4614,12.66
44.06,6.6402,0.4685,12.92
44.261,6.6739,0.4767,13.14
44.462,6.7119,0.4851,10.33
44.662,6.7119,0.4853,10.34
44.863,6.7528,0.495,10.68
45.064,6.7906,0.5032,10.48
45.264,6.8173,0.5098,10.37
45.465,6.8507,0.5175,9.55
45.666,6.8959,0.5274,10.47
45.866,6.93,0.5355,10.57
46.067,6.9709,0.5455,10.67
46.267,7.0166,0.5558,11.53
46.468,7.0426,0.5618,9.55
46.669,7.0948,0.5741,13.06
46.869,7.114,0.5781,13.01
47.07,7.14,0.5841,13.07
47.271,7.1812,0.5941,11.99
47.471,7.2004,0.5983,10.52
47.672,7.2526,0.6101,9.75
47.873,7.3049,0.6226,13.18
48.073,7.3161,0.6254,10.63
48.274,7.3494,0.6329,10.66
48.474,7.3823,0.6414,10.86
48.675,7.42,0.6501,10.53
48.876,7.453,0.6577,10.81
49.079,7.4871,0.6653,12.01
49.478,7.5845,0.689,13.37
49.678,7.6189,0.697,13.05
49.879,7.6556,0.7049,13.3
50.08,7.6893,0.7136,13.53
50.281,7.7236,0.7218,10.72
50.481,7.7604,0.7305,11.06
50.682,7.7868,0.7363,10.98
50.882,7.8214,0.7451,10.72
51.083,7.8659,0.7557,12.21
51.284,7.8998,0.7632,13.41
51.485,7.9338,0.772,13.4
51.686,7.967,0.7799,13.43
51.886,8.0047,0.789,13.44
52.086,8.0389,0.7964,11.92
52.287,8.0754,0.8051,12.41
52.488,8.1095,0.8134,13.48
52.689,8.1432,0.8215,13.49
52.89,8.1806,0.8305,13.72
53.09,8.2145,0.8395,11.97
53.291,8.2298,0.8431,11.92
53.491,8.2558,0.8486,11.07
53.692,8.3008,0.8592,11.67
53.893,8.3275,0.8653,10.75
54.093,8.3606,0.8728,8.06
54.294,8.4141,0.8825,8.88
54.495,8.4256,0.8843,7.7
54.696,8.4941,0.8928,6.67
54.896,8.5328,0.8969,5.13
55.097,8.5671,0.8999,3.99
55.298,8.6018,0.903,2.86
55.499,8.6406,0.9047,1.92
55.699,8.675,0.9049,1.89
55.9,8.7092,0.9061,1.76
56.101,8.7469,0.9071,1.46
56.301,8.7808,0.9084,1.36
56.502,8.7926,0.9091,0.57
56.703,8.9158,0.9139,1.46
56.903,8.9623,0.9142,2.07
57.104,8.9808,0.9149,2.11
57.305,8.9962,0.9153,1.6
57.506,9.0428,0.918,1.54
57.706,9.0769,0.919,1.78
57.907,9.0962,0.9195,1.16
58.108,9.1156,0.9198,0.25
58.308,9.1232,0.9198,-0.05
58.509,9.1582,0.9186,-1.01
58.71,9.2232,0.9166,-2.49
58.911,9.2576,0.9159,-1.02
59.111,9.257,0.9165,-0.42
59.312,9.4726,0.9068,-4.1
59.513,9.4917,0.9055,-4.22
59.714,9.4994,0.9049,-4.37
59.914,9.5069,0.9043,-4.4
60.115,9.5267,0.9018,-4.61
60.315,9.5345,0.9011,-4.74
60.516,9.5538,0.9005,-4.64
60.717,9.5613,0.8999,-4.64
60.917,9.5878,0.8978,-4.42
61.118,9.6532,0.8925,-4.9
61.319,9.6876,0.8887,-4.48
61.519,9.7221,0.886,-4.59
61.72,9.7608,0.8828,-4.76
61.92,9.7946,0.8801,-2.71
62.121,9.7942,0.8801,-3.71
62.322,9.8396,0.8763,-4.48
62.522,9.8855,0.8735,-4.28
62.723,9.9397,0.868,-3.84
62.924,9.9739,0.8661,-4.92
63.124,10.0085,0.8632,-3.74
63.328,10.0461,0.8601,-5.13
63.726,10.1149,0.8538,-4.36
63.927,10.142,0.8516,-4.28
64.128,10.1806,0.8477,-6.5
64.328,10.214,0.8426,-7.27
64.529,10.2603,0.836,-9.23
64.729,10.2603,0.8358,-7.46
64.93,10.2938,0.8314,-10.08
65.532,10.3992,0.8097,-13.19
65.733,10.4515,0.7966,-15.31
65.933,10.5029,0.7818,-16.7
66.134,10.5138,0.7786,-17.0
66.334,10.5138,0.7786,-17.0
66.535,10.5546,0.7655,-18.82
66.735,10.6154,0.744,-20.43
66.936,10.6732,0.7221,-20.81
67.137,10.7088,0.7087,-20.44
67.337,10.7416,0.6963,-20.97
67.538,10.7741,0.6828,-20.79
67.738,10.8064,0.6706,-18.67
67.939,10.8426,0.6578,-21.13
68.14,10.8741,0.6457,-18.69
68.34,10.9098,0.6322,-20.81
68.541,10.9414,0.6201,-21.02
68.741,10.9761,0.6068,-20.82
68.942,11.0089,0.5944,-20.79
69.143,11.0448,0.5795,-21.17
69.343,11.0769,0.5672,-20.72
69.544,11.1092,0.556,-20.86
69.745,11.142,0.5435,-21.09
69.945,11.1777,0.5299,-20.22
70.146,11.211,0.5168,-19.32
70.347,11.2438,0.5056,-16.41
70.547,11.2802,0.4939,-14.86
70.748,11.3137,0.4855,-15.43
70.949,11.3474,0.4765,-14.43
71.149,11.3839,0.4676,-12.69
71.35,11.4186,0.4589,-11.7
71.551,11.4526,0.4521,-10.69
71.751,11.4978,0.4443,-9.0
71.952,11.5247,0.44,-9.18
72.152,11.559,0.4356,-9.28
72.353,11.6046,0.4271,-8.98
72.554,11.6393,0.4215,-9.51
72.754,11.6769,0.4152,-9.08
72.955,11.7104,0.4111,-9.04
73.156,11.7378,0.4056,-9.19
73.356,11.7797,0.3988,-7.44
73.557,11.7909,0.3969,-9.02
73.758,11.8523,0.3872,-7.67
73.958,11.8787,0.3826,-8.19
74.159,11.9244,0.3754,-9.1
74.359,11.9587,0.371,-9.34
74.56,11.993,0.3643,-7.32
74.761,12.0304,0.3594,-7.49
74.961,12.0652,0.3525,-9.43
75.162,12.0988,0.3482,-9.09
75.363,12.1372,0.3409,-9.14
75.563,12.1716,0.3365,-9.37
75.764,12.2056,0.3298,-9.02
75.964,12.2441,0.3248,-6.76
76.165,12.2518,0.3222,-5.54
76.366,12.286,0.3167,-5.5
76.566,12.3317,0.3094,-6.58
76.767,12.3582,0.3049,-6.08
76.968,12.4031,0.2989,-5.95
77.168,12.4448,0.2922,-6.05
77.369,12.4892,0.2839,-9.32
77.57,12.5004,0.282,-7.36
77.77,12.5267,0.279,-8.18
77.971,12.5985,0.2655,-7.36
78.172,12.5985,0.2659,-9.11
78.372,12.6665,0.2526,-9.31
78.573,12.6775,0.2501,-13.08
78.774,12.737,0.2358,-11.89
78.974,12.7709,0.2277,-16.51
79.175,12.8074,0.215,-18.93
79.376,12.8402,0.2043,-21.45
79.576,12.8721,0.191,-24.16
79.777,12.9036,0.1751,-26.35
79.978,12.9378,0.1584,-29.3
80.178,12.9679,0.141,-28.41
80.379,12.9969,0.1224,-30.65
80.58,13.0285,0.0988,-33.31
80.78,13.055,0.0791,-35.28
80.981,13.0847,0.0532,-37.81
81.182,13.1093,0.0311,-44.34
81.382,13.1337,0.0055,-46.56
81.583,13.1597,-0.0224,-44.64
81.784,13.1819,-0.0501,-51.88
81.984,13.2027,-0.0777,-48.81
82.185,13.2243,-0.108,-57.3
82.386,13.2427,-0.1385,-59.34
82.587,13.2598,-0.1686,-62.14
82.787,13.2769,-0.2028,-64.79
82.988,13.291,-0.234,-60.29
83.189,13.3039,-0.2654,-69.59
83.389,13.3166,-0.3023,-72.24
83.59,13.3264,-0.3349,-74.55
83.791,13.3357,-0.3716,-77.57
83.991,13.3424,-0.4044,-79.53
84.192,13.3485,-0.4413,-82.46
84.393,13.3524,-0.4755,-76.37
84.593,13.355,-0.5096,-86.73
84.794,13.3568,-0.5488,-88.36
84.995,13.3575,-0.583,-80.28
85.195,13.3578,-0.6178,-81.22
85.396,13.3572,-0.6566,-82.73
85.597,13.3558,-0.6912,-92.44
85.797,13.3539,-0.7256,-94.01
85.998,13.3511,-0.7655,-95.25
86.198,13.3478,-0.7993,-96.06
86.399,13.3438,-0.834,-97.34
86.6,13.337,-0.8786,-98.64
86.8,13.3331,-0.9059,-89.56
87.001,13.327,-0.9403,-101.05
87.202,13.3192,-0.9761,-91.95
87.402,13.3152,-0.9946,-92.26
87.606,13.3038,-1.0451,-94.07
88.004,13.2846,-1.1154,-95.93
88.205,13.2707,-1.1595,-97.44
88.405,13.2622,-1.183,-97.95
88.606,13.2468,-1.2284,-99.56
88.807,13.2346,-1.2603,-100.41
89.007,13.2243,-1.2841,-101.06
89.208,13.2061,-1.3271,-113.36
89.409,13.1928,-1.3579,-101.75
89.609,13.1793,-1.3898,-101.55
89.81,13.1643,-1.4249,-101.93
90.01,13.1513,-1.4579,-112.84
90.211,13.1362,-1.4915,-113.05
90.412,13.1223,-1.5239,-113.14
90.612,13.109,-1.5553,-112.88
90.813,13.094,-1.591,-112.84
91.014,13.0803,-1.6234,-113.05
91.214,13.066,-1.6572,-112.74
91.415,13.0523,-1.6898,-112.87
91.616,13.0388,-1.7218,-113.06
91.816,13.0254,-1.7534,-112.62
92.017,13.0104,-1.7893,-112.93
92.218,12.997,-1.8209,-112.9
92.418,12.9828,-1.8568,-112.68
92.619,12.9688,-1.8879,-113.04
92.819,12.9551,-1.9199,-101.67
93.02,12.9408,-1.9562,-101.49
93.221,12.9267,-1.9872,-101.66
93.421,12.9134,-2.0188,-101.68
93.622,12.8992,-2.0553,-101.42
93.823,12.8849,-2.0865,-101.82
94.023,12.8718,-2.1175,-101.3
