Time (s),X (m),Y (m),Yaw (deg)
0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.1,0.0,0.0,0.0
1.15,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.35,0.0,0.0,0.0
1.4,0.0,0.0,0.0
1.45,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.55,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.65,0.0,0.0,0.0
1.7,0.0,0.0,0.0
1.75,0.0,0.0,0.0
1.8,0.0,0.0,0.0
1.85,0.0,0.0,0.0
1.9,0.0,0.0,0.0
1.95,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.05,0.0,0.0,0.0
2.101,0.0,0.0,0.0
2.15,0.0,0.0,0.0
2.2,0.0,0.0,0.0
2.25,0.0,0.0,0.0
2.3,0.0,0.0,0.0
2.35,0.0,0.0,0.0
2.4,0.0,0.0,0.0
2.45,0.0,0.0,0.0
2.5,0.0,0.0,0.0
2.55,0.0,0.0,0.0
2.603,0.0,0.0,0.0
2.65,0.0,-0.0,-0.02
2.7,0.0001,-0.0,0.0
2.75,0.0003,0.0,0.04
2.8,0.0006,0.0,0.05
2.85,0.0009,0.0,0.05
2.9,0.0015,0.0,0.05
2.95,0.0019,0.0,0.07
3.0,0.0022,0.0,0.11
3.05,0.003,0.0,0.11
3.1,0.0038,0.0,0.09
3.15,0.0048,0.0,0.07
3.2,0.0065,0.0,0.09
3.25,0.0078,0.0,0.07
3.3,0.0093,0.0,0.07
3.35,0.0109,0.0,0.05
3.4,0.0133,0.0,0.05
3.45,0.0151,0.0,0.09
3.5,0.0171,0.0,0.09
3.55,0.0202,0.0,0.09
3.6,0.0223,0.0,0.09
3.65,0.0244,0.0,0.11
3.7,0.0275,0.0,0.09
3.75,0.0296,0.0,0.07
3.8,0.0331,0.0,0.05
3.85,0.0356,0.0,0.0
3.9,0.0381,0.0,-0.02
3.95,0.0418,0.0,-0.05
4.0,0.0444,0.0,-0.04
4.05,0.047,0.0,-0.07
4.1,0.0508,0.0,-0.07
4.15,0.0534,0.0,-0.11
4.2,0.0559,0.0,-0.11
4.25,0.0599,0.0,-0.15
4.3,0.0624,0.0,-0.16
4.35,0.065,0.0,-0.18
4.4,0.0692,-0.0,-0.22
4.45,0.072,-0.0,-0.2
4.5,0.075,-0.0,-0.22
4.55,0.0794,-0.0,-0.2
4.6,0.0825,-0.0001,-0.22
4.65,0.0854,-0.0001,-0.2
4.7,0.0884,-0.0001,-0.18
4.75,0.0928,-0.0001,-0.18
4.8,0.0957,-0.0001,-0.11
