Time (s),X (m),Y (m),Yaw (deg)
1.414,-31.398,6.1034,-1.3
1.614,-31.4301,6.0959,-0.12
1.815,-31.4512,6.0977,0.1
2.016,-31.4558,6.0951,-0.03
2.216,-31.454,6.098,-0.01
2.417,-31.4612,6.0951,-0.16
2.618,-31.4626,6.0949,-0.12
2.818,-31.4608,6.095,-0.06
3.019,-31.4418,6.0966,-0.1
3.22,-31.4193,6.0917,-0.12
3.42,-31.4275,6.0831,-0.2
3.621,-31.4209,6.0794,0.08
3.822,0.0049,-0.0,-0.01
4.022,-31.4624,5.8401,-50.74
4.223,0.0086,0.0,0.14
4.424,0.01,-0.0002,0.12
4.624,0.0023,-0.001,-0.1
4.825,0.0088,0.0037,0.03
5.026,0.0042,0.0069,-0.08
5.226,0.0281,0.0064,-0.14
5.427,0.0299,0.0063,-0.07
5.628,-31.4427,5.816,-50.65
5.828,0.0443,0.0001,0.09
6.029,-31.43,5.8005,-50.89
6.23,0.0686,0.0001,-0.14
6.431,0.0907,0.0043,-0.26
6.631,-31.3983,5.7614,-50.87
6.832,0.1225,0.0001,0.09
7.033,-31.3735,5.7309,-50.76
7.233,0.1624,0.0001,0.0
7.434,0.1817,0.0016,-0.25
7.635,-31.3387,5.688,-51.11
7.836,-31.4178,5.7975,-5.01
8.036,-31.3966,5.7772,-1.88
8.237,-31.3441,5.7664,-0.99
8.438,0.2874,0.0001,-0.08
8.638,0.3068,-0.0003,-0.18
8.839,-31.2608,5.5925,-50.74
9.04,0.347,0.0002,0.25
9.24,0.3592,-0.0029,0.3
9.441,0.3931,-0.0033,-0.22
9.642,0.4104,-0.0024,-0.33
9.843,0.4462,-0.0063,0.03
10.043,-31.1841,5.4985,-50.65
10.244,0.4661,0.0004,0.19
10.445,-31.1586,5.4673,-50.83
10.645,-31.1325,5.4481,-5.13
10.846,0.5254,0.0004,0.07
11.047,0.5532,0.0057,0.04
11.247,0.5745,0.0049,-0.02
11.448,0.5941,0.0011,-0.24
11.649,-31.0836,5.3755,-50.99
11.849,0.6256,0.0006,0.13
12.05,-31.0579,5.3441,-50.59
12.251,0.6657,0.0008,0.35
12.451,0.6889,0.0008,0.15
12.652,0.7148,0.0004,-0.01
12.853,0.7393,0.0041,-0.01
13.053,-30.9957,5.2681,-50.48
13.254,0.7662,0.0011,0.36
13.455,0.7556,0.0027,0.1
13.656,0.7962,-0.0005,-0.21
13.856,-30.9442,5.2053,-50.73
14.057,-30.9432,5.1658,-3.32
14.258,-30.8801,5.1546,-1.36
14.458,0.8842,0.0016,0.38
14.659,-30.8936,5.1439,-50.82
14.86,0.9245,0.0017,0.12
15.06,-30.8694,5.1143,-50.47
15.261,-30.8333,5.0866,-2.85
15.462,-30.8261,5.0834,-1.19
15.662,1.0041,0.0022,0.17
15.863,0.9966,0.0039,-0.02
16.064,-30.8056,5.0365,-50.64
16.264,-31.0583,4.8975,-2.49
16.465,1.0847,0.0026,0.53
16.666,-30.7677,4.9907,-50.66
16.866,-30.8021,4.942,-1.36
17.067,-30.7565,4.9355,-0.64
17.268,1.1628,0.003,0.41
17.468,1.1599,0.006,0.16
17.669,1.2405,-0.0021,0.04
17.87,1.2253,-0.0026,0.01
18.07,1.2379,-0.0058,0.2
18.271,1.2447,-0.0104,0.21
18.472,-30.6538,4.8523,-50.29
18.672,1.3042,0.0039,0.42
18.873,1.3083,0.0042,0.34
19.074,1.3398,0.0056,0.12
19.274,1.3553,0.0064,0.24
19.475,-30.59,4.7751,-50.21
19.676,-30.5935,4.8316,-2.95
19.876,-30.5858,4.8293,-1.18
20.077,-30.5509,4.8227,-0.43
20.278,-30.5133,4.8217,-0.03
20.478,1.4874,0.0052,0.64
20.679,-30.5142,4.6834,-50.26
20.88,1.5283,0.0056,0.37
21.08,1.5258,0.0057,0.04
21.281,-30.4761,4.6373,-50.39
21.482,1.5879,0.0061,0.67
21.682,-30.4472,4.6025,-50.35
21.883,-30.3936,4.7503,-3.15
22.084,1.6484,0.0065,0.33
22.284,1.6796,0.0067,0.15
22.485,1.7095,0.0062,0.08
22.686,1.697,0.0051,0.2
22.886,-30.3705,4.5099,-50.36
23.087,-30.2844,4.8138,-1.44
23.288,1.7673,0.0075,0.5
23.488,-30.3329,4.4645,-50.16
23.689,1.8057,0.008,0.6
23.89,1.8095,0.0098,0.26
24.09,-30.2943,4.4179,-50.59
24.291,1.866,0.0084,0.39
24.491,1.8775,0.0075,0.27
24.692,-30.2564,4.3721,-50.02
24.893,1.9259,0.0091,0.54
25.094,1.95,0.0123,-0.1
25.294,1.9297,0.0119,0.1
25.495,-30.2059,4.3113,-50.13
25.696,2.0065,0.0098,0.7
25.896,2.0245,0.0127,0.3
26.097,-30.1675,4.2652,-50.45
26.297,2.0666,0.0104,0.34
26.498,-30.1422,4.2345,-50.2
26.699,-30.0824,4.696,-0.9
26.9,-30.0841,4.6923,-0.41
27.1,2.1449,0.0113,0.48
27.301,2.138,0.012,0.07
27.501,2.1765,0.0075,0.26
27.702,2.1998,0.0062,0.18
27.903,2.2347,0.0034,0.15
28.103,-30.0394,4.1111,-50.43
28.304,-29.9307,4.2178,0.96
28.505,-29.9282,4.2167,0.47
28.706,2.3053,0.0129,0.86
28.906,2.2819,0.0157,0.19
29.107,-29.9755,4.0343,-50.23
29.308,2.3653,0.0136,0.51
29.508,2.3756,0.0149,0.31
29.709,-29.9387,3.99,-50.09
29.91,-29.74,4.2309,1.07
30.11,2.4439,0.0146,0.58
30.311,-29.8989,3.9423,-50.44
30.511,-29.5897,3.9865,-0.03
30.712,-29.6158,3.9884,0.07
30.913,2.5247,0.0154,0.85
31.113,2.5446,0.0141,0.25
31.314,2.5726,0.0144,-0.22
31.515,2.6012,0.012,-0.08
31.715,-29.81,3.8357,-50.04
31.916,2.6235,0.0167,0.94
32.117,2.6677,0.0183,0.33
32.317,-29.7714,3.7895,-50.32
32.518,-29.7838,3.7211,-6.16
32.719,2.7046,0.0176,0.62
32.919,2.7481,0.0146,0.32
33.12,2.7146,0.022,0.21
33.321,-29.7072,3.7127,-50.22
33.521,-29.7421,3.6912,-4.28
33.722,2.8029,0.0189,0.75
33.923,-29.6692,3.667,-49.96
34.123,-29.7835,3.1891,0.2
34.324,-29.7568,3.1883,-0.17
34.525,-29.7305,3.1877,-0.11
34.725,-29.69,3.1796,0.0
34.926,-29.6595,3.1768,0.01
35.127,2.9432,0.0207,1.02
35.327,-29.5802,3.5607,-50.12
35.528,2.9818,0.0213,0.61
35.729,-29.5541,3.5294,-50.11
35.929,-29.6503,3.153,-0.28
36.13,3.0476,0.0222,0.9
36.331,3.0813,0.0253,0.37
36.531,-29.4995,3.4642,-50.35
36.732,3.1072,0.0229,0.7
36.933,-29.4751,3.4349,-49.8
37.133,3.1475,0.0236,1.03
37.334,-29.4521,3.4078,-49.98
37.535,3.1872,0.0242,0.74
37.735,3.1791,0.0244,0.3
37.936,3.2161,0.0253,0.27
38.137,3.2492,0.0219,0.09
38.337,-29.3844,3.3272,-49.92
38.538,-29.6565,3.0419,-0.05
38.739,3.3055,0.026,0.69
38.939,3.322,0.0252,0.59
39.14,3.3638,0.0317,0.11
39.341,3.3702,0.0266,0.07
39.541,3.3931,0.027,-0.13
39.742,3.4084,0.0208,0.07
39.943,-29.2828,3.2061,-49.97
40.143,3.4464,0.0283,1.19
40.344,3.4624,0.033,0.5
40.545,-29.243,3.159,-50.03
40.745,3.5063,0.0293,0.75
40.946,-29.2182,3.1294,-49.95
41.146,3.5464,0.0299,1.1
41.347,3.5684,0.0351,0.45
41.548,3.5906,0.0298,0.28
41.748,3.6105,0.029,0.0
41.949,3.6261,0.0302,0.12
42.15,3.6552,0.0261,0.1
42.35,3.6743,0.0299,-0.06
42.551,-29.1153,3.0075,-49.87
42.752,-29.1616,3.0368,-0.76
42.952,3.7263,0.033,0.77
43.153,-29.0767,2.9615,-49.81
43.353,3.7642,0.0337,1.24
43.554,-29.0516,2.932,-49.68
43.755,-29.1872,2.9677,-0.08
43.955,-29.1279,2.964,0.12
44.156,-29.1102,2.9643,0.06
44.357,-29.0662,2.9587,0.05
44.558,3.8833,0.0359,1.12
44.758,-28.9733,2.8392,-49.92
44.959,-29.1077,2.65,-0.14
45.159,3.9434,0.0369,1.01
45.36,-28.9351,2.7938,-49.54
45.561,3.9838,0.0377,1.2
45.761,-28.9102,2.7645,-49.86
45.962,4.0247,0.0384,0.38
46.163,4.0594,0.0353,-0.1
46.363,-28.8726,2.7182,-52.64
46.564,4.0841,0.0372,-3.22
46.765,-28.8483,2.6849,-55.47
46.968,-28.9118,2.6394,-0.56
47.367,-28.8586,2.6384,-0.29
47.567,-28.8586,2.6383,-0.12
47.768,-28.8082,2.6384,-0.25
47.969,4.2228,0.0231,-6.56
48.169,4.2458,-0.0058,-2.11
48.37,4.2728,-0.0076,-0.7
48.571,4.2945,-0.0086,-0.49
48.771,4.3087,-0.0134,-0.15
48.972,-28.7286,2.5002,-57.44
49.172,4.3416,0.0098,-6.57
49.373,-28.708,2.468,-57.06
49.574,-28.7091,2.514,-0.01
49.774,-28.6856,2.5079,-0.08
49.975,-28.6953,2.5063,-0.26
50.176,-28.6712,2.5008,0.11
50.377,4.4604,-0.0034,-6.32
50.577,4.4751,-0.0219,-1.89
50.778,-28.629,2.3456,-57.18
50.978,-28.5948,2.3779,-0.63
51.179,-28.5899,2.3751,-0.25
51.38,4.565,-0.0151,-6.21
51.58,-28.5865,2.2795,-56.93
51.781,-28.5017,2.2919,-0.35
51.982,-28.5129,2.2883,-0.21
52.182,4.6434,-0.0236,-6.39
52.383,4.6586,-0.0361,-1.99
52.584,4.6482,-0.037,-0.55
52.784,-28.5238,2.1825,-56.97
52.985,4.7236,-0.0324,-6.51
53.186,-28.4995,2.1448,-57.43
53.386,4.7617,-0.0367,-6.32
53.587,-28.4779,2.1113,-57.01
53.788,-28.2538,2.3349,-0.72
53.988,4.8214,-0.0432,-6.27
54.189,-28.4451,2.0606,-57.33
54.39,4.8617,-0.0477,-6.37
54.59,4.8751,-0.0515,-1.93
54.791,4.8975,-0.0567,-0.61
54.992,-28.402,1.9939,-57.25
55.192,-28.3091,1.8765,-1.38
55.393,4.9595,-0.0586,-6.41
55.594,-28.3698,1.9438,-57.01
55.794,4.9998,-0.063,-6.08
55.995,-28.3488,1.9114,-57.04
56.196,5.0405,-0.0674,-6.49
56.396,-28.3266,1.877,-57.24
56.597,-28.5647,1.8005,-1.29
56.798,-28.4286,1.7965,-0.43
56.998,-28.3798,1.7944,-0.23
57.199,5.1401,-0.0783,-6.47
57.4,5.1672,-0.0893,-2.43
57.6,5.1989,-0.0943,-0.82
57.801,5.2011,-0.0949,-0.2
58.002,5.2154,-0.0968,-0.22
58.202,-28.2293,1.7266,-57.22
58.403,5.2572,-0.0912,-6.39
58.604,5.272,-0.1028,-2.29
58.804,5.3007,-0.1127,-0.75
59.005,-28.1864,1.6603,-56.93
59.206,-28.3892,1.5104,-1.0
59.406,5.356,-0.102,-6.47
59.607,5.3789,-0.1202,-2.08
59.808,-28.1429,1.5929,-56.84
60.008,5.4149,-0.1084,-6.02
60.209,5.4397,-0.1192,-2.01
60.41,5.4773,-0.1234,-0.61
60.61,5.4553,-0.1259,-0.4
60.811,-28.0885,1.5089,-57.08
61.012,-28.1066,1.4874,-1.04
61.212,-28.0635,1.4847,-0.33
61.413,-28.0827,1.4826,-0.0
61.614,5.5642,-0.1247,-6.57
