Time (s),X (m),Y (m),Yaw (deg)
-0.697,0.0,-0.0002,0.01
-0.496,0.0001,-0.0002,0.0
-0.296,0.0001,0.0002,-0.0
-0.095,0.0,-0.0002,0.0
0.106,-0.0,-0.0,0.0
0.306,0.0,-0.0001,0.0
0.507,0.0001,-0.0002,0.0
0.708,-0.0,-0.0002,0.0
0.908,-0.0,-0.0001,-0.0
1.109,-0.0001,-0.0002,0.0
1.31,-0.0,0.0001,-0.0
1.51,-0.0001,-0.0001,-0.0
1.711,0.0,-0.0001,-0.01
1.911,-0.0001,-0.0001,0.0
2.112,-0.0001,0.0001,-0.0
2.313,0.0001,-0.0001,0.0
2.514,-0.0,-0.0001,-0.0
2.714,-0.0001,-0.0,-0.0
2.915,0.0,0.0,-0.01
3.116,0.0,-0.0001,-0.03
3.316,0.001,-0.0,-0.11
3.517,0.0027,-0.0001,-0.04
3.718,0.0047,0.0001,-0.06
3.918,0.0065,0.0001,0.05
4.119,0.0085,-0.0,0.08
4.32,0.0114,0.0002,0.07
4.52,0.0152,0.0,0.11
4.721,0.0194,0.0001,0.16
4.922,0.0234,0.0001,0.2
5.122,0.0272,-0.0004,0.23
5.323,0.0321,-0.0001,0.15
5.524,0.0377,-0.0003,0.12
5.724,0.0442,-0.0001,0.03
5.925,0.0539,-0.0001,-0.04
6.126,0.0684,-0.0002,-0.19
6.326,0.084,-0.0002,-0.23
6.527,0.1039,-0.0006,-0.05
6.728,0.1225,-0.0004,0.04
6.929,0.1433,-0.0005,0.01
7.129,0.1626,-0.0019,-0.01
7.33,0.184,-0.0004,-0.22
7.531,0.2028,-0.0009,-0.27
7.731,0.2214,-0.0009,0.09
7.932,0.2425,-0.0009,0.24
8.133,0.2616,-0.0007,0.04
8.334,0.2834,-0.0018,-0.08
8.534,0.3028,-0.001,-0.12
8.735,0.3216,-0.0011,0.04
8.936,0.341,-0.0022,0.21
9.136,0.3622,-0.0045,0.14
9.337,0.363,-0.0045,0.14
9.538,0.4028,-0.0052,-0.07
9.738,0.4217,-0.0045,0.1
9.939,0.4472,-0.0062,0.15
10.14,0.4626,-0.0054,0.25
10.341,0.4809,-0.0073,0.09
10.541,0.5063,-0.0084,0.09
10.742,0.5214,-0.0007,-0.03
10.943,0.5469,-0.0008,0.31
11.143,0.5615,-0.0006,0.22
11.344,0.5872,-0.0006,-0.12
11.545,0.6064,-0.0007,-0.15
11.745,0.6214,-0.0008,0.05
