Time (s),X (m),Y (m),Yaw (deg)
0.835,0.0,-0.0,-0.02
0.885,0.0,0.0,0.0
0.935,0.0,0.0,0.0
0.985,0.0,-0.0,-0.02
1.035,0.0001,-0.0,-0.04
1.085,0.0001,-0.0,-0.07
1.143,0.0003,-0.0,-0.15
1.185,0.0007,-0.0,-0.16
1.235,0.0012,-0.0,-0.13
1.285,0.0017,-0.0,-0.09
1.337,0.0024,-0.0,-0.05
1.385,0.0027,-0.0,-0.07
1.442,0.003,-0.0,-0.05
1.485,0.0036,-0.0,-0.05
1.536,0.0041,-0.0,-0.02
1.585,0.0047,-0.0,-0.05
1.636,0.005,-0.0,-0.07
1.685,0.0053,-0.0,-0.07
1.737,0.0057,-0.0,-0.05
1.785,0.0062,-0.0,0.0
1.844,0.0067,-0.0,0.04
1.885,0.0074,-0.0,0.04
1.935,0.0078,-0.0,0.04
1.985,0.0082,-0.0,0.0
2.035,0.0087,-0.0,0.05
2.085,0.0092,-0.0,0.07
2.135,0.0098,-0.0,0.07
2.185,0.0108,-0.0,0.04
2.235,0.0116,-0.0,0.05
2.285,0.0125,-0.0,0.07
2.335,0.0137,-0.0,0.07
2.385,0.0145,-0.0,0.07
2.435,0.0154,0.0,0.09
2.485,0.0165,0.0,0.09
2.535,0.0174,0.0,0.11
2.585,0.0183,0.0,0.11
2.635,0.0195,0.0,0.15
2.685,0.0204,0.0,0.15
2.735,0.0212,0.0,0.11
2.785,0.0225,0.0,0.16
2.835,0.0233,0.0,0.18
2.885,0.0242,0.0,0.18
2.935,0.0255,0.0,0.22
2.985,0.0264,0.0,0.24
3.035,0.0272,0.0,0.22
3.085,0.0285,0.0,0.18
3.135,0.0295,0.0,0.15
3.185,0.0304,0.0,0.16
3.235,0.0321,0.0,0.15
3.285,0.0333,0.0,0.16
3.335,0.0347,0.0001,0.18
3.385,0.0365,0.0001,0.18
3.435,0.0378,0.0001,0.13
3.485,0.0396,0.0001,0.15
3.535,0.041,0.0001,0.11
3.585,0.0422,0.0001,0.07
3.635,0.0444,0.0001,0.02
3.685,0.0461,0.0001,-0.0
3.735,0.0492,0.0001,0.04
3.785,0.0515,0.0001,-0.02
3.835,0.054,0.0001,-0.04
3.885,0.0578,0.0001,-0.07
3.935,0.0608,0.0001,-0.13
3.985,0.0637,0.0001,-0.15
4.035,0.0687,0.0,-0.18
4.085,0.072,0.0,-0.22
4.135,0.0753,0.0,-0.22
4.185,0.0806,0.0,-0.2
4.235,0.0842,-0.0,-0.2
4.285,0.0879,-0.0,-0.18
4.335,0.0936,-0.0,-0.15
4.385,0.0976,-0.0,-0.15
4.435,0.104,-0.0001,-0.04
4.485,0.1082,-0.0001,-0.05
4.535,0.1122,-0.0001,0.02
4.585,0.1186,-0.0001,0.05
4.635,0.1226,-0.0001,0.04
4.685,0.1268,-0.0001,0.07
4.735,0.133,-0.0,0.05
4.785,0.137,-0.0,0.02
4.839,0.1434,-0.0,0.04
4.885,0.1475,-0.0,0.05
4.935,0.1517,-0.0,0.07
4.985,0.1583,-0.0,0.02
5.035,0.1625,-0.0,-0.02
5.085,0.1669,-0.0,-0.04
5.135,0.1733,-0.0,-0.15
5.185,0.1776,-0.0001,-0.22
5.235,0.1839,-0.0001,-0.22
5.285,0.1882,-0.0001,-0.34
5.335,0.1924,-0.0001,-0.34
5.385,0.1967,-0.0001,-0.33
5.435,0.2028,-0.0002,-0.27
5.485,0.207,-0.0002,-0.18
5.54,0.2132,-0.0002,-0.09
5.585,0.2174,-0.0002,-0.05
5.635,0.2215,-0.0002,0.05
5.685,0.2277,-0.0002,0.13
5.735,0.2318,-0.0002,0.15
5.785,0.2383,-0.0002,0.15
5.835,0.2425,-0.0002,0.2
5.885,0.2469,-0.0002,0.11
5.942,0.2512,-0.0001,0.09
5.985,0.2576,-0.0001,0.04
6.035,0.2617,-0.0001,0.0
6.085,0.2681,-0.0001,-0.09
6.135,0.2724,-0.0002,-0.07
6.185,0.2767,-0.0002,-0.07
6.241,0.2831,-0.0002,-0.18
6.285,0.2875,-0.0002,-0.16
6.335,0.2919,-0.0002,-0.16
6.385,0.2962,-0.0002,-0.18
6.435,0.3027,-0.0002,-0.16
