Time (s),X (m),Y (m),Yaw (deg)
-0.076,0.3293,-0.002,-0.63
0.049,0.3376,-0.002,-0.54
0.049,0.346,-0.0021,-0.36
0.174,0.3586,-0.0022,-0.25
0.174,0.3668,-0.0022,-0.35
0.174,0.3753,-0.0023,-0.35
0.299,0.3882,-0.0024,-0.4
0.299,0.3965,-0.0024,-0.42
0.424,0.4092,-0.0025,-0.41
0.424,0.4174,-0.0026,-0.47
0.424,0.4255,-0.0026,-0.41
0.549,0.4381,-0.0027,-0.35
0.549,0.4463,-0.0028,-0.17
0.674,0.4546,-0.0028,-0.21
0.674,0.4675,-0.0028,-0.24
0.674,0.4761,-0.0029,-0.24
0.799,0.4848,-0.0029,-0.31
0.799,0.4979,-0.003,-0.49
0.924,0.5064,-0.0031,-0.52
0.924,0.5149,-0.0031,-0.46
0.924,0.5277,-0.0032,-0.47
1.049,0.5363,-0.0033,-0.34
1.049,0.5447,-0.0034,-0.29
1.174,0.5573,-0.0034,-0.27
1.174,0.5658,-0.0035,-0.18
1.174,0.5742,-0.0035,-0.22
1.299,0.5871,-0.0036,-0.22
1.299,0.5957,-0.0036,-0.25
1.424,0.6044,-0.0036,-0.31
1.549,0.6172,-0.0037,-0.28
1.549,0.6256,-0.0037,-0.42
1.549,0.6341,-0.0038,-0.33
1.549,0.6467,-0.0038,-0.2
1.924,0.6552,-0.0039,-0.02
1.924,0.6637,-0.0039,-0.08
1.924,0.6766,-0.0039,-0.15
1.924,0.6852,-0.0039,-0.1
1.924,0.6939,-0.0039,-0.21
2.049,0.7064,-0.004,-0.24
2.049,0.7149,-0.004,-0.29
2.049,0.7235,-0.0041,-0.28
2.049,0.7363,-0.0041,-0.2
2.174,0.7448,-0.0042,-0.14
2.174,0.7532,-0.0042,-0.23
2.174,0.7658,-0.0042,-0.08
2.174,0.7742,-0.0042,-0.01
2.299,0.7829,-0.0042,0.01
2.424,0.7958,-0.0042,0.01
2.424,0.8039,-0.0042,-0.04
2.424,0.8121,-0.0042,-0.09
2.424,0.8249,-0.0043,-0.15
2.549,0.8333,-0.0043,-0.15
2.549,0.8418,-0.0043,-0.03
2.674,0.8545,-0.0043,0.15
2.924,0.863,-0.0043,0.24
2.924,0.8716,-0.0042,0.15
3.049,0.8844,-0.0042,0.05
3.049,0.8928,-0.0042,0.06
3.049,0.9014,-0.0042,0.01
3.049,0.9139,-0.0042,-0.06
3.049,0.9225,-0.0042,-0.14
3.049,0.9349,-0.0042,-0.13
3.049,0.9429,-0.0043,-0.1
3.174,0.951,-0.0043,-0.12
3.174,0.9637,-0.0043,-0.02
3.174,0.972,-0.0043,0.15
3.299,0.9806,-0.0043,0.22
3.424,0.9935,-0.0042,0.21
3.424,1.0021,-0.0042,0.23
3.424,1.0098,-0.0042,0.16
3.424,1.0224,-0.0041,0.04
3.549,1.0306,-0.0041,0.01
3.549,1.0389,-0.0041,-0.08
3.674,1.0512,-0.0042,0.03
3.674,1.0594,-0.0041,0.14
3.674,1.0675,-0.0041,0.23
3.799,1.0797,-0.0041,0.21
3.799,1.0877,-0.0041,0.18
3.924,1.0958,-0.004,0.16
3.924,1.1078,-0.004,0.09
3.924,1.1161,-0.004,-0.0
4.049,1.1245,-0.004,-0.03
4.049,1.1369,-0.004,-0.15
4.174,1.1447,-0.004,-0.17
4.174,1.1447,-0.004,-0.19
4.174,1.1567,-0.0041,-0.16
4.174,1.1567,-0.0041,-0.17
4.174,1.1642,-0.0041,-0.03
4.174,1.1642,-0.0041,-0.02
4.299,1.1723,-0.0041,0.13
4.299,1.1723,-0.0041,0.13
4.299,1.1845,-0.0041,0.22
4.299,1.1845,-0.004,0.22
4.424,1.1923,-0.004,0.21
4.424,1.1923,-0.0041,0.2
4.424,1.2005,-0.004,0.16
4.424,1.2005,-0.004,0.16
4.424,1.2123,-0.004,0.07
4.424,1.2123,-0.004,0.06
4.549,1.2203,-0.004,-0.05
4.549,1.2203,-0.004,-0.06
4.549,1.2278,-0.004,-0.15
4.549,1.2278,-0.004,-0.16
4.549,1.2397,-0.004,-0.12
4.549,1.2397,-0.004,-0.12
4.674,1.2471,-0.004,-0.15
4.674,1.2471,-0.004,-0.15
