Time (s),X (m),Y (m),Yaw (deg)
1.814,0.6471,-0.0162,-0.03
2.014,0.6544,-0.0208,-0.0
2.215,0.7355,-0.0237,-0.12
2.416,0.7803,-0.0209,-0.11
2.617,0.8125,-0.0235,-0.1
2.817,0.8541,-0.0243,-0.02
3.018,0.8548,-0.0268,-0.03
3.219,0.9396,-0.0296,-0.17
3.419,0.9936,-0.0315,-0.11
3.62,1.0484,-0.0315,-0.18
3.821,1.102,-0.0375,-0.03
4.024,1.1769,-0.0279,-0.19
4.423,1.2407,-0.0316,-0.23
4.623,1.2842,-0.032,-0.41
4.824,1.3326,-0.0333,-0.34
5.025,1.3714,-0.0369,-0.34
5.225,1.4197,-0.0393,-0.47
5.426,1.4705,-0.0443,-0.58
5.627,1.516,-0.049,-0.75
6.028,1.6097,-0.0493,-0.71
8.235,2.0216,-0.0682,-1.39
10.041,2.3322,-0.0977,-1.12
11.646,2.7195,-0.0863,2.31
12.85,2.9934,0.0914,0.9
13.653,3.1088,0.1161,1.9
14.656,3.2809,0.2076,1.37
15.86,3.4099,0.2597,1.74
17.465,3.6361,0.3535,1.61
18.87,3.7103,0.8388,-1.31
20.876,4.0685,0.312,-1.51
23.285,4.5496,0.2813,-0.83
24.288,4.7248,0.2552,-0.81
25.09,4.8507,0.2279,0.33
25.893,5.0027,0.2186,1.09
26.696,5.1736,0.1717,1.43
27.298,5.3281,0.1244,1.38
28.302,5.5334,0.1055,1.2
29.506,5.6965,0.1618,0.95
30.911,5.9077,0.1753,0.43
31.914,6.0717,0.1715,0.54
32.918,6.2536,0.1691,0.64
34.121,6.4545,0.1732,0.5
35.325,6.6987,0.1737,0.8
36.93,6.9637,0.1773,1.18
39.137,7.405,0.1789,0.87
41.748,7.9045,0.1792,1.32
44.555,8.3082,0.8623,12.71
44.755,8.3214,0.8593,2.0
45.558,8.4804,0.8955,1.84
46.16,8.6286,0.97,1.09
47.565,8.835,0.9215,1.73
47.766,8.8732,0.9167,0.56
47.966,8.9138,0.9219,0.07
48.368,8.9709,0.9233,-0.06
48.569,9.0293,0.9209,-0.06
48.97,9.0873,0.9202,0.22
49.171,9.1306,0.9198,-0.27
49.371,9.1423,0.9162,-0.3
49.572,9.1693,0.9131,-0.29
49.773,9.2145,0.9093,-0.2
49.974,9.2815,0.902,0.0
50.375,9.3456,0.8997,-0.09
50.776,9.4134,0.9016,-0.57
50.977,9.4605,0.8975,-0.89
51.379,9.5345,0.8965,-1.25
51.981,9.6178,0.8902,-1.13
52.382,9.6873,0.8778,-0.88
52.784,9.7677,0.8804,-1.45
52.984,9.8253,0.8755,-1.52
53.385,9.8958,0.8699,-1.56
53.787,9.9657,0.8683,-0.9
54.188,10.0315,0.8655,-0.96
54.389,10.0881,0.863,-0.97
54.79,10.1642,0.8572,-0.94
55.191,10.2401,0.8505,-1.16
55.592,10.3208,0.8397,-1.4
55.996,10.4115,0.8338,-1.53
