Time (s),X (m),Y (m),Yaw (deg)
3.219,0.8668,-0.0519,-1.6
8.436,1.7768,-0.1379,-5.46
13.854,2.7009,-0.1592,15.26
19.071,3.5768,0.1246,6.02
21.679,4.045,0.0642,-21.84
26.896,4.7417,-0.4755,-20.08
32.115,5.6419,-0.5268,3.31
37.331,6.5664,-0.4927,7.45
42.548,7.5159,-0.3835,10.76
45.357,8.0035,-0.2992,12.45
50.576,8.8921,-0.2189,4.77
55.793,9.8291,-0.2353,-1.45
59.204,10.404,-0.3123,-15.68
64.621,11.288,-0.609,-9.9
69.837,12.1803,-0.7881,-9.66
75.055,12.9774,-1.1894,-54.34
77.864,13.1603,-1.6393,-81.93
80.673,13.1681,-2.1309,-95.42
85.89,12.9842,-3.0527,-99.72
92.111,13.265,-3.7988,-14.47
115.787,13.3371,-4.1954,-77.46
121.808,13.3889,-5.0496,-89.42
127.828,13.2467,-5.9471,-115.01
133.848,12.8176,-6.7324,-104.18
139.867,12.6521,-7.5587,-92.47
145.887,12.5947,-8.4784,-84.33
152.108,12.8608,-9.3278,-61.88
158.129,13.0363,-10.1201,-91.55
164.147,12.9164,-10.9686,-107.23
170.368,12.5302,-11.7391,-116.48
176.388,12.0995,-12.5245,-117.62
182.609,11.5413,-13.2163,-146.31
188.629,10.7012,-13.4806,-179.45
194.648,9.8205,-13.3524,170.21
200.868,8.9411,-13.19,175.03
206.888,8.024,-13.0827,172.99
213.108,7.1308,-12.9303,171.38
219.128,6.2809,-12.7721,174.71
225.148,5.4045,-12.647,170.12
231.368,4.5555,-12.4656,175.4
237.388,3.6575,-12.4085,179.95
243.611,2.7375,-12.4029,173.07
249.629,1.886,-12.292,176.2
255.649,1.002,-12.1923,165.07
261.87,0.185,-11.8241,158.51
267.89,-0.6127,-11.5035,161.34
274.11,-1.4027,-11.0271,131.34
280.129,-1.9056,-10.3236,123.22
286.149,-2.231,-9.4983,100.94
292.369,-2.2566,-8.6311,87.99
298.39,-2.1465,-7.7707,80.13
304.61,-1.9263,-6.8842,72.53
310.63,-1.7086,-6.025,79.18
316.65,-1.4888,-5.1616,80.31
322.872,-1.3549,-4.259,94.19
329.091,-1.4116,-3.395,95.53
335.111,-1.4674,-2.5391,96.05
341.13,-1.3823,-1.6941,73.46
347.15,-1.1679,-0.8267,80.33
353.37,-0.7506,0.0072,45.28
359.391,0.0323,0.4034,10.52
365.611,0.9135,0.3208,-8.6
371.631,1.7616,0.3287,13.63
