Time (s),X (m),Y (m),Yaw (deg)
21.597,2.0517,-0.0594,2.42
23.804,2.7757,0.0984,1.06
24.607,2.9598,0.1001,1.98
25.209,3.0749,0.105,2.1
25.811,3.2094,0.1026,1.72
26.012,3.2745,0.0984,0.83
26.413,3.3341,0.1053,0.3
27.216,3.4692,0.0983,-1.29
27.617,3.537,0.087,-1.29
28.42,3.6702,0.0055,-2.23
29.423,3.6988,0.0044,-2.19
30.226,4.205,0.4953,-0.26
30.828,4.316,0.4733,-1.84
31.229,4.3853,0.4428,-1.7
31.831,4.4498,0.4103,-2.0
32.032,4.4849,0.4031,-1.26
32.435,4.529,0.3774,-1.75
32.634,4.5665,0.3656,-1.26
33.035,4.6112,0.3435,-1.47
33.436,4.6861,0.3441,-0.65
34.038,4.7837,0.3306,-0.19
35.042,4.9256,0.301,1.19
35.644,5.0136,0.2806,1.38
36.246,5.114,0.2792,2.28
36.848,5.2193,0.2759,2.63
37.249,5.3156,0.2745,2.54
37.651,5.3638,0.2763,2.59
38.253,5.443,0.2915,2.46
39.46,5.6893,0.3033,1.19
40.46,5.8742,0.3045,0.71
41.063,5.979,0.3035,0.32
42.067,6.1542,0.2949,0.21
42.467,6.2556,0.289,0.39
42.868,6.3272,0.2893,-0.08
43.47,6.4336,0.2883,0.19
43.671,6.4547,0.2862,0.2
44.072,6.5471,0.2826,0.14
44.474,6.6431,0.2749,0.38
45.075,6.743,0.2702,0.33
45.677,6.8238,0.2702,0.48
46.078,6.8818,0.2709,0.44
46.68,6.9638,0.2742,0.13
47.082,7.0321,0.2744,0.24
47.483,7.1117,0.2686,0.12
48.085,7.2091,0.2692,0.18
48.686,7.311,0.2658,-0.01
49.088,7.38,0.2638,0.23
49.489,7.4595,0.2591,-0.01
49.89,7.5383,0.2602,-0.1
50.292,7.5989,0.2573,0.03
50.894,7.722,0.2515,0.16
51.498,7.8326,0.2467,0.37
52.098,7.9067,0.2493,0.17
52.7,8.0009,0.2531,0.3
53.302,8.0951,0.2481,-0.11
53.703,8.1624,0.248,0.15
54.305,8.2353,0.256,0.2
54.907,8.321,0.2601,0.14
55.309,8.4562,0.2374,0.35
56.513,8.6654,0.2435,-0.83
56.914,8.7428,0.2453,-0.96
57.516,8.847,0.2491,-1.23
58.319,8.9672,0.2532,-1.08
59.122,9.1182,0.2467,0.07
60.125,9.3371,0.2309,0.24
61.129,9.5036,0.2349,-0.84
61.932,9.6843,0.2227,0.12
62.935,9.7876,0.2245,-0.55
63.537,9.9199,0.2175,-0.18
64.139,10.0279,0.217,-0.21
65.343,10.2558,0.2084,-0.47
65.544,10.2883,0.2109,-0.13
66.547,10.4606,0.2152,-0.99
67.149,10.5524,0.2245,-1.59
67.951,10.6711,0.2232,-1.92
68.553,10.7775,0.2243,-1.99
69.155,10.8736,0.2195,-1.47
69.556,10.9581,0.213,-0.53
70.157,11.0598,0.216,-0.39
70.759,11.1739,0.2154,-0.59
71.161,11.2256,0.2075,-0.07
71.763,11.3277,0.2011,-0.25
72.565,11.4787,0.2018,0.17
73.167,11.5732,0.1976,1.09
73.97,11.689,0.1993,2.01
74.572,11.7901,0.2001,1.08
74.973,11.8842,0.2024,0.32
75.374,11.9557,0.2018,0.15
75.976,12.0633,0.2023,0.12
76.578,12.1871,0.1946,-0.11
76.979,12.27,0.1907,-0.03
77.581,12.3842,0.1776,-0.1
78.183,12.5055,0.1712,-0.12
78.584,12.5927,0.1664,-0.16
78.986,12.667,0.1659,0.13
79.387,12.7385,0.1683,0.17
79.989,12.8482,0.1578,0.13
80.591,12.954,0.1509,-0.58
81.193,13.0625,0.1397,-1.43
81.393,13.0892,0.1291,-1.11
81.594,13.1246,0.1215,-0.93
81.996,13.1773,0.1205,-2.12
82.196,13.2052,0.1142,-1.33
82.597,13.2553,0.1056,-1.95
82.999,13.2812,0.0852,-2.08
83.601,13.3156,0.0288,-2.38
84.002,13.3516,-0.0099,-2.04
84.404,13.3996,-0.0388,-2.07
85.407,13.6747,-0.3603,-1.31
86.009,13.7292,-0.4746,-1.85
86.611,13.8191,-0.5894,-2.02
87.614,14.0063,-0.7281,-1.98
88.618,14.1811,-0.8088,-1.75
89.42,13.6323,-1.2168,-8.94
89.621,13.7452,-1.3417,-1.69
90.825,13.9582,-1.4204,-1.63
92.028,13.5102,-1.62,-100.14
92.229,12.9913,-1.4276,1.46
93.232,13.1665,-1.4213,0.59
94.235,13.3465,-1.4196,0.39
95.239,13.4067,-2.1525,-5.52
95.439,13.416,-2.176,-1.8
95.841,13.448,-2.1852,-0.63
