Time (s),X (m),Y (m),Yaw (deg)
-1769099705.463,0.0077,0.0,-0.09
-1769099705.463,0.0192,-0.0,-0.15
18.297,0.027,-0.0,-0.24
18.297,0.0349,-0.0001,-0.33
18.297,0.0468,-0.0001,-0.4
18.297,0.0546,-0.0002,-0.36
18.297,0.0624,-0.0002,-0.42
18.297,0.0737,-0.0003,-0.38
18.297,0.0812,-0.0004,-0.2
18.297,0.0887,-0.0004,-0.15
18.297,0.1003,-0.0004,0.02
18.797,0.108,-0.0004,0.04
18.797,0.1158,-0.0004,0.05
18.797,0.1275,-0.0004,-0.09
18.797,0.1352,-0.0004,-0.18
18.797,0.1429,-0.0004,-0.27
18.797,0.1546,-0.0005,-0.25
18.797,0.1624,-0.0005,-0.33
18.797,0.1702,-0.0006,-0.27
18.797,0.1814,-0.0006,-0.11
18.797,0.189,-0.0006,-0.13
18.797,0.1966,-0.0007,-0.05
19.297,0.208,-0.0007,-0.05
19.297,0.2156,-0.0007,-0.07
19.297,0.2234,-0.0007,-0.02
19.297,0.2352,-0.0007,0.05
19.297,0.2433,-0.0007,0.11
19.297,0.251,-0.0007,0.33
19.297,0.2627,-0.0006,0.51
19.297,0.2704,-0.0005,0.73
19.297,0.2778,-0.0004,1.07
19.297,0.2893,-0.0002,1.6
19.796,0.297,-0.0,1.98
19.796,0.3042,0.0002,2.32
19.796,0.3153,0.0007,2.65
19.796,0.323,0.001,2.83
19.796,0.3307,0.0014,3.05
19.796,0.3423,0.002,3.41
19.796,0.3501,0.0025,3.59
19.796,0.358,0.003,3.75
19.796,0.3697,0.0038,4.21
19.796,0.3774,0.0043,4.31
20.296,0.3851,0.0049,4.53
20.296,0.3965,0.0058,4.95
20.296,0.4041,0.0065,5.29
20.296,0.4115,0.0072,5.67
20.296,0.4231,0.0083,6.07
20.296,0.4308,0.0091,6.36
20.296,0.4385,0.01,6.44
20.296,0.4497,0.0112,6.69
20.296,0.4576,0.0122,6.78
20.296,0.4653,0.0131,6.94
20.797,0.4768,0.0145,7.34
20.797,0.4845,0.0155,7.65
20.797,0.4921,0.0165,7.94
20.797,0.5035,0.0181,8.43
20.797,0.5109,0.0192,8.65
20.797,0.5184,0.0203,8.95
20.797,0.5298,0.0221,9.39
20.797,0.5375,0.0234,9.59
20.797,0.545,0.0247,9.97
20.797,0.5566,0.0267,10.28
21.297,0.5644,0.0281,10.46
21.297,0.5719,0.0295,10.55
21.297,0.5835,0.0317,10.82
21.297,0.5908,0.0331,11.06
21.297,0.5983,0.0345,11.33
21.297,0.6092,0.0367,11.82
21.297,0.6163,0.0382,12.15
21.297,0.627,0.0405,12.53
21.297,0.6344,0.0422,12.74
21.297,0.6419,0.0438,13.0
21.797,0.6534,0.0465,13.31
21.797,0.6611,0.0483,13.52
21.797,0.6683,0.0501,13.72
21.797,0.6793,0.0527,13.99
21.797,0.6869,0.0546,14.14
21.797,0.6943,0.0565,14.3
21.797,0.7054,0.0593,14.67
21.797,0.7129,0.0613,15.03
21.797,0.7202,0.0633,15.37
21.797,0.7309,0.0662,15.92
22.297,0.7379,0.0682,16.17
22.297,0.7488,0.0714,16.59
22.297,0.7562,0.0736,16.75
22.297,0.7637,0.0758,16.91
22.297,0.7751,0.0793,17.22
22.297,0.7826,0.0816,17.46
22.297,0.79,0.0839,17.66
22.297,0.8011,0.0875,17.91
22.297,0.8083,0.0898,18.18
22.297,0.8155,0.0921,18.45
22.797,0.8226,0.0945,18.78
22.797,0.8336,0.0983,19.25
22.797,0.841,0.1008,19.6
22.797,0.8519,0.1047,19.98
22.797,0.8591,0.1073,20.14
22.797,0.8665,0.11,20.27
22.797,0.8737,0.1127,20.47
22.797,0.8846,0.1168,20.72
22.797,0.892,0.1196,20.88
22.797,0.8994,0.1224,21.17
23.297,0.9102,0.1266,21.57
23.297,0.9172,0.1294,21.84
23.297,0.9242,0.1321,22.15
23.297,0.9347,0.1364,22.68
23.297,0.9417,0.1394,22.95
23.297,0.9487,0.1423,23.29
23.297,0.9597,0.147,23.64
23.297,0.9669,0.1502,23.89
23.297,0.9738,0.1533,24.04
23.297,0.9846,0.1581,24.16
23.796,0.9913,0.1611,24.35
23.796,0.9982,0.1642,24.56
23.796,1.0088,0.1691,24.98
23.796,1.0159,0.1724,25.31
23.796,1.0227,0.1756,25.67
23.796,1.0331,0.1806,26.12
23.796,1.04,0.1839,26.36
23.796,1.0468,0.1873,26.59
23.796,1.0572,0.1925,26.97
23.796,1.0641,0.196,27.19
24.296,1.0711,0.1997,27.39
24.296,1.0816,0.2051,27.59
24.296,1.0886,0.2087,27.68
24.296,1.095,0.2121,27.86
24.296,1.1051,0.2174,28.22
24.296,1.1117,0.221,28.55
24.296,1.1182,0.2245,28.95
24.296,1.1279,0.2299,29.53
24.296,1.1343,0.2335,29.87
24.296,1.1443,0.2392,30.15
24.796,1.1508,0.243,30.33
24.796,1.1575,0.247,30.49
24.796,1.1676,0.2529,30.8
24.796,1.174,0.2567,31.02
24.796,1.1837,0.2626,31.27
24.796,1.1904,0.2666,31.49
24.796,1.1969,0.2706,31.72
24.796,1.2065,0.2765,32.09
24.796,1.2129,0.2805,32.41
24.796,1.2194,0.2846,32.72
25.297,1.229,0.2909,33.26
25.297,1.2351,0.2948,33.54
25.297,1.2416,0.2991,33.75
25.297,1.2513,0.3056,34.04
25.297,1.2576,0.3099,34.03
25.297,1.2642,0.3143,34.04
25.297,1.274,0.321,34.13
25.297,1.2801,0.3251,34.19
25.297,1.2865,0.3294,34.3
25.297,1.2957,0.3357,34.37
25.796,1.3019,0.34,34.48
25.796,1.311,0.3462,34.55
25.796,1.3173,0.3506,34.57
25.796,1.3237,0.3549,34.62
25.796,1.3332,0.3615,34.64
25.796,1.3396,0.3659,34.66
25.796,1.346,0.3704,34.61
25.796,1.3524,0.3748,34.44
25.796,1.3621,0.3814,34.3
25.796,1.3686,0.3859,34.21
26.296,1.375,0.3902,34.12
26.296,1.3845,0.3966,34.08
26.296,1.3908,0.4009,34.01
26.296,1.3971,0.4051,33.86
26.296,1.4066,0.4116,33.52
26.296,1.413,0.4158,33.26
26.296,1.4195,0.42,32.88
26.296,1.4294,0.4264,32.36
26.296,1.4361,0.4307,32.14
26.296,1.4427,0.4348,31.83
26.797,1.4526,0.441,31.49
26.797,1.4591,0.445,31.25
26.797,1.4656,0.4489,31.03
26.797,1.4754,0.4548,30.71
26.797,1.4819,0.4587,30.58
26.797,1.4885,0.4625,30.44
26.797,1.4985,0.4684,30.18
26.797,1.5052,0.4723,29.95
26.797,1.5119,0.4762,29.58
26.797,1.5222,0.482,29.0
27.296,1.529,0.4858,28.64
27.296,1.5357,0.4895,28.3
27.296,1.5459,0.495,28.03
27.296,1.5527,0.4986,27.95
27.296,1.5595,0.5022,27.75
27.296,1.5692,0.5073,27.41
27.296,1.5758,0.5107,27.03
27.296,1.5856,0.5157,26.32
27.296,1.5926,0.5192,25.76
27.296,1.5996,0.5225,25.18
27.796,1.6067,0.5259,24.65
27.796,1.6174,0.5308,23.86
27.796,1.6246,0.534,23.37
27.796,1.6317,0.537,22.86
27.796,1.6418,0.5413,22.22
27.796,1.6488,0.5442,21.77
27.796,1.6594,0.5484,21.15
27.796,1.6661,0.551,20.72
27.796,1.6733,0.5537,20.3
27.796,1.6843,0.5578,19.61
28.296,1.6919,0.5605,19.07
28.296,1.6992,0.563,18.51
28.296,1.7101,0.5667,17.67
28.296,1.7174,0.569,17.15
28.296,1.7247,0.5713,16.62
28.296,1.7354,0.5744,15.99
28.296,1.7427,0.5765,15.54
28.296,1.7499,0.5785,15.19
28.296,1.7612,0.5816,14.54
28.296,1.7684,0.5835,14.12
28.797,1.776,0.5854,13.6
28.797,1.7874,0.5882,12.65
28.797,1.795,0.5898,12.04
28.797,1.8022,0.5914,11.49
28.797,1.8136,0.5937,10.82
28.797,1.8212,0.5952,10.41
28.797,1.8287,0.5965,10.12
28.797,1.8399,0.5985,9.52
28.797,1.8474,0.5998,9.01
28.797,1.855,0.601,8.5
29.296,1.8664,0.6027,7.76
29.296,1.8742,0.6038,7.21
29.296,1.882,0.6047,6.69
29.296,1.8935,0.6061,6.0
29.296,1.9014,0.6069,5.58
29.296,1.909,0.6077,5.0
29.296,1.9204,0.6087,4.3
29.296,1.928,0.6092,3.82
29.296,1.9356,0.6097,3.34
29.296,1.947,0.6104,2.68
29.796,1.9547,0.6108,2.21
29.796,1.9626,0.6111,1.63
29.796,1.9745,0.6114,0.83
29.796,1.9823,0.6115,0.27
29.796,1.9901,0.6116,-0.31
29.796,2.0015,0.6115,-1.03
29.796,2.0092,0.6114,-1.49
29.796,2.0167,0.6112,-1.87
29.796,2.0282,0.6108,-2.47
29.796,2.0359,0.6105,-2.85
30.296,2.0438,0.6101,-3.32
30.296,2.0552,0.6094,-4.06
30.296,2.0627,0.6089,-4.55
30.296,2.0705,0.6083,-5.13
30.296,2.0821,0.6072,-6.02
30.296,2.0899,0.6064,-6.51
30.296,2.0976,0.6055,-6.94
30.296,2.1089,0.6041,-7.6
30.296,2.1164,0.6031,-7.98
30.296,2.1238,0.6021,-8.37
30.796,2.1352,0.6004,-9.08
30.796,2.1427,0.5992,-9.54
30.796,2.1504,0.5979,-10.13
30.796,2.1621,0.5958,-11.0
30.796,2.1697,0.5944,-11.51
30.796,2.1774,0.5928,-11.98
30.796,2.1886,0.5904,-12.74
30.796,2.1962,0.5887,-13.25
30.796,2.2036,0.587,-13.69
30.796,2.211,0.5852,-14.12
31.296,2.2221,0.5824,-14.77
31.296,2.2291,0.5805,-15.17
31.296,2.2399,0.5776,-15.75
31.296,2.247,0.5756,-16.24
31.296,2.2546,0.5734,-16.79
31.296,2.2658,0.57,-17.64
31.296,2.2731,0.5677,-18.22
31.296,2.2804,0.5653,-18.76
31.296,2.2913,0.5616,-19.43
31.296,2.2981,0.5592,-19.8
31.796,2.3055,0.5565,-20.19
31.796,2.3159,0.5527,-20.77
31.796,2.3231,0.55,-21.25
31.796,2.334,0.5457,-22.04
31.796,2.3407,0.543,-22.64
31.796,2.3475,0.5401,-23.17
31.796,2.3583,0.5355,-23.93
31.796,2.3655,0.5324,-24.45
31.796,2.3722,0.5293,-24.87
31.796,2.3822,0.5247,-25.54
32.296,2.3891,0.5214,-26.01
32.296,2.3993,0.5164,-26.65
32.296,2.406,0.513,-27.1
32.296,2.4125,0.5097,-27.54
32.296,2.4224,0.5045,-28.21
32.296,2.4293,0.5008,-28.7
32.296,2.4393,0.4954,-29.51
32.296,2.4458,0.4917,-29.98
32.296,2.4525,0.4878,-30.53
32.296,2.462,0.4822,-31.18
32.796,2.4682,0.4785,-31.56
32.796,2.4775,0.4728,-32.09
32.796,2.484,0.4687,-32.28
32.796,2.4902,0.4648,-32.54
32.796,2.4998,0.4586,-32.88
32.796,2.5063,0.4544,-33.08
32.796,2.5158,0.4482,-33.7
32.796,2.5223,0.4439,-34.01
32.796,2.5288,0.4395,-34.3
32.796,2.5352,0.4352,-34.42
33.295,2.5444,0.4288,-34.39
33.295,2.5508,0.4245,-34.22
33.295,2.5601,0.4181,-34.04
33.295,2.5664,0.4139,-34.01
33.295,2.5724,0.4099,-33.97
33.295,2.5816,0.4036,-34.17
33.295,2.588,0.3993,-34.19
33.295,2.5974,0.3929,-34.24
33.295,2.604,0.3884,-34.3
33.295,2.6104,0.384,-34.26
33.796,2.6197,0.3777,-34.24
33.796,2.626,0.3734,-34.28
33.796,2.6322,0.3692,-34.22
33.796,2.6417,0.3628,-34.24
33.796,2.648,0.3585,-34.12
33.796,2.6544,0.3541,-34.06
33.796,2.664,0.3476,-33.99
33.796,2.6704,0.3433,-33.95
33.796,2.6769,0.3389,-33.97
33.796,2.6867,0.3324,-34.04
34.296,2.6931,0.328,-33.9
34.296,2.6996,0.3236,-33.7
34.296,2.7094,0.3171,-33.26
34.296,2.7158,0.3129,-32.92
34.296,2.7222,0.3088,-32.5
34.296,2.7284,0.3048,-32.21
34.296,2.738,0.2988,-31.85
