Time (s),X (m),Y (m),Yaw (deg)
18.387,1.9553,0.0019,0.02
23.604,2.8598,0.059,21.25
28.821,3.6982,0.4421,11.82
31.43,4.181,0.4477,-16.24
36.647,4.924,-0.0223,-14.68
41.865,5.8103,-0.0063,8.91
47.082,6.7354,0.1168,12.85
52.298,7.65,0.3112,16.16
57.516,8.5256,0.5481,9.88
62.735,9.4169,0.6479,6.03
67.951,10.3495,0.6825,-5.07
73.167,11.214,0.4874,-9.48
78.384,12.1087,0.3716,-4.53
83.601,13.0142,0.1725,-36.48
86.41,13.3385,-0.1938,-67.48
91.627,13.4587,-1.1061,-95.81
94.436,13.3887,-1.6072,-94.53
99.854,13.3627,-2.4975,-40.19
125.939,13.8371,-3.0457,-73.89
131.96,13.9685,-3.8976,-84.18
138.18,13.8874,-4.8564,-112.61
144.4,13.5415,-5.6985,-94.28
150.42,13.479,-6.577,-86.93
156.44,13.5165,-7.5099,-74.85
162.661,13.8928,-8.3246,-60.7
168.682,14.0911,-9.0925,-87.47
174.901,14.0229,-9.9596,-107.82
180.921,13.7019,-10.7567,-110.95
186.941,13.349,-11.5775,-112.48
192.961,12.8418,-12.2723,-144.12
198.982,12.0116,-12.57,-176.1
205.003,11.1355,-12.512,176.0
211.02,10.2666,-12.4515,-178.66
217.039,9.3475,-12.4424,179.22
223.059,8.4876,-12.3983,177.56
229.079,7.6389,-12.3224,-178.53
235.099,6.7982,-12.2968,176.35
241.118,5.9417,-12.2136,-178.6
247.138,5.0425,-12.2585,-173.45
253.158,4.1575,-12.36,-179.38
259.178,3.2971,-12.3509,-177.55
265.198,2.429,-12.3572,172.5
271.419,1.5814,-12.0992,163.82
277.44,0.7479,-11.8571,167.93
283.66,-0.0969,-11.4816,138.16
289.679,-0.6832,-10.8344,129.13
295.699,-1.104,-10.0615,108.08
301.719,-1.2232,-9.2313,95.1
307.739,-1.2144,-8.3733,86.33
313.759,-1.09,-7.496,79.06
319.778,-0.961,-6.6415,84.39
325.798,-0.8075,-5.7656,86.01
331.819,-0.7407,-4.8981,95.62
337.838,-0.8556,-4.0771,100.1
344.059,-0.9774,-3.2427,101.16
350.078,-1.0315,-2.3721,78.54
356.098,-0.8689,-1.4914,88.68
362.318,-0.6007,-0.5835,54.45
368.338,0.0948,-0.0548,20.18
374.358,0.9326,0.0142,-4.05
380.378,1.7586,0.0302,18.05
