Time (s),X (m),Y (m),Yaw (deg)
5.907,0.0582,0.0001,-0.08
15.942,0.9681,-0.0319,1.15
20.958,1.4682,-0.0426,1.73
26.176,1.9485,-0.0356,2.31
31.192,2.4686,-0.034,2.96
41.426,3.4965,-0.0094,4.55
51.458,4.4736,-0.0004,-1.28
56.676,4.9836,-0.034,-1.37
61.692,5.5239,-0.0671,-1.56
66.709,6.0044,-0.0917,-1.94
76.942,6.9926,-0.1555,-1.83
81.959,7.5133,-0.19,-2.29
92.192,8.5105,-0.2187,0.63
97.209,9.0009,-0.2421,-1.97
107.442,10.0001,-0.3225,-1.37
112.659,10.7791,-0.312,-4.17
122.692,11.7524,-0.3302,4.18
132.726,12.7685,-0.3255,-13.89
137.943,13.2386,-0.5436,-42.84
147.976,13.7621,-1.3753,-61.67
153.193,13.9996,-1.8576,-71.08
163.226,14.0241,-2.8712,-94.06
168.443,13.9696,-3.3493,-95.89
178.476,13.8541,-4.3067,-91.58
187.706,13.7872,-5.1762,-87.67
192.723,13.8101,-5.6544,-88.28
202.956,13.7909,-6.6131,-90.61
212.989,13.7332,-7.5726,-91.78
218.207,13.6967,-8.0633,-92.64
228.24,13.6102,-9.0212,-94.02
233.457,13.553,-9.5497,-94.41
238.473,13.5057,-10.0497,-91.81
243.49,13.471,-10.5102,-92.79
248.707,13.4285,-11.0283,-93.53
253.724,13.3802,-11.5178,-94.59
263.757,13.0659,-12.4493,-137.78
268.974,12.6313,-12.7264,-165.83
278.004,11.7017,-12.6291,173.61
286.432,10.8047,-12.5679,176.51
291.248,10.2996,-12.5171,176.68
299.676,9.3912,-12.4369,177.12
304.491,8.8561,-12.3999,177.3
313.722,7.8706,-12.3316,177.6
322.752,6.8955,-12.2582,177.37
331.983,5.8893,-12.1938,177.99
341.012,4.9648,-12.1408,178.83
349.44,4.0441,-12.11,178.98
354.256,3.5297,-12.0816,179.41
362.684,2.6497,-12.0741,178.9
367.5,2.164,-12.0559,179.53
376.73,1.2189,-11.8456,143.79
385.76,0.3676,-11.3926,170.71
394.188,-0.5261,-11.1223,143.76
399.004,-0.594,-10.9757,122.23
407.231,-0.8306,-10.1004,97.13
415.258,-0.9471,-9.1784,98.77
423.485,-1.0878,-8.2485,99.76
431.512,-1.228,-7.3429,100.69
439.739,-1.4183,-6.338,102.11
447.765,-1.489,-5.4524,83.05
455.992,-1.346,-4.4714,95.61
460.006,-1.3858,-3.9363,97.2
464.019,-1.4124,-3.4315,96.46
468.033,-1.4625,-2.9545,94.73
472.246,-1.461,-2.4595,92.59
476.26,-1.4556,-1.9601,90.0
480.273,-1.426,-1.4588,87.48
484.286,-1.3201,-0.9191,65.36
488.5,-1.0166,-0.4633,41.65
492.513,-0.5784,-0.1914,19.28
496.526,-0.0868,-0.1158,2.89
500.539,0.3533,-0.1362,-1.48
504.753,0.8566,-0.182,0.76
508.766,1.3424,-0.1301,20.7
512.779,1.8012,0.0422,24.28
516.793,2.2016,0.193,6.97
