Time (s),X (m),Y (m),Yaw (deg)
-0.155,1.4174,0.0375,2.98
-0.155,1.4216,0.0378,3.11
-0.155,1.4281,0.0381,3.19
0.095,1.4321,0.0384,3.27
0.095,1.4385,0.0387,3.34
0.095,1.4428,0.039,3.45
0.095,1.4468,0.0392,3.49
0.095,1.4533,0.0396,3.73
0.345,1.4575,0.0399,3.64
0.345,1.4618,0.0402,3.79
0.345,1.4679,0.0406,3.89
0.345,1.472,0.0409,3.77
0.345,1.4764,0.0412,3.79
0.595,1.4827,0.0416,3.72
0.595,1.4867,0.0418,3.95
0.595,1.491,0.0421,3.83
0.595,1.497,0.0425,3.85
0.595,1.5014,0.0428,3.84
0.845,1.5057,0.0431,3.86
0.845,1.5124,0.0436,3.84
0.845,1.5165,0.0438,3.7
0.845,1.523,0.0442,3.45
0.845,1.5275,0.0445,3.53
1.095,1.5317,0.0448,3.49
1.095,1.536,0.045,3.45
1.095,1.5423,0.0454,3.45
1.095,1.5466,0.0457,3.54
1.095,1.5507,0.046,3.74
1.345,1.557,0.0464,3.87
1.345,1.5612,0.0467,3.9
1.345,1.5654,0.047,4.0
1.345,1.5719,0.0474,4.12
1.345,1.5761,0.0477,4.24
1.595,1.5805,0.048,4.16
1.595,1.5869,0.0485,3.96
1.595,1.5912,0.0488,4.03
1.595,1.5955,0.0491,3.78
1.595,1.6019,0.0495,3.71
1.845,1.6062,0.0498,3.68
1.845,1.6105,0.0501,3.6
1.845,1.617,0.0505,3.61
1.845,1.6213,0.0507,3.56
1.845,1.6255,0.051,3.59
2.095,1.6321,0.0514,3.61
2.095,1.6365,0.0517,3.61
2.095,1.6407,0.052,3.64
2.095,1.6473,0.0524,3.83
2.095,1.6515,0.0527,3.61
2.345,1.6558,0.053,3.94
2.345,1.6621,0.0534,3.99
2.345,1.6663,0.0537,3.87
2.345,1.6704,0.054,4.04
2.345,1.6767,0.0544,4.02
2.595,1.6809,0.0547,4.07
2.595,1.6851,0.055,4.1
2.595,1.6914,0.0554,4.14
2.595,1.6957,0.0558,4.08
2.595,1.7001,0.0561,4.11
2.845,1.7066,0.0565,4.24
2.845,1.711,0.0569,4.01
2.845,1.7154,0.0572,3.96
2.845,1.7218,0.0576,3.87
2.845,1.7262,0.0579,3.85
3.095,1.7304,0.0582,3.74
3.095,1.7366,0.0586,3.61
3.095,1.7409,0.0589,3.69
3.095,1.7448,0.0591,3.69
3.095,1.7512,0.0595,3.87
3.345,1.7554,0.0598,3.82
3.345,1.7594,0.0601,3.97
3.345,1.7659,0.0605,4.01
3.345,1.7701,0.0609,4.23
3.345,1.7745,0.0612,4.3
3.595,1.7808,0.0616,4.02
3.595,1.785,0.0619,4.09
3.595,1.7894,0.0622,4.12
3.595,1.7957,0.0627,4.05
3.595,1.8,0.063,4.03
3.845,1.8042,0.0633,3.97
3.845,1.8106,0.0637,4.03
3.845,1.8149,0.064,3.94
3.845,1.8192,0.0643,3.94
3.845,1.8257,0.0648,3.87
4.095,1.8301,0.0651,3.76
4.095,1.8345,0.0654,3.82
4.095,1.841,0.0658,3.87
4.095,1.8454,0.0661,3.77
4.095,1.8497,0.0664,4.0
4.345,1.8561,0.0669,4.03
4.345,1.8603,0.0671,4.03
4.345,1.8644,0.0674,4.13
4.345,1.8707,0.0679,4.22
4.345,1.8749,0.0682,4.35
4.595,1.8791,0.0685,4.5
4.595,1.8853,0.069,4.58
4.595,1.8895,0.0694,4.64
4.595,1.8939,0.0697,4.57
4.595,1.9003,0.0702,4.76
4.845,1.9047,0.0706,4.66
4.845,1.9091,0.071,4.58
4.845,1.9156,0.0715,4.51
4.845,1.9198,0.0718,4.53
4.845,1.9241,0.0721,4.08
5.095,1.9305,0.0726,3.96
5.095,1.9349,0.0729,3.94
5.095,1.939,0.0732,4.07
5.095,1.9452,0.0736,4.1
5.095,1.9495,0.0739,4.15
5.345,1.9537,0.0743,4.21
5.345,1.9602,0.0747,4.3
5.345,1.9644,0.0751,4.46
5.345,1.9687,0.0754,4.6
5.345,1.9751,0.0759,4.65
5.595,1.9793,0.0763,4.87
5.595,1.9835,0.0766,4.91
5.595,1.9898,0.0772,4.79
5.595,1.994,0.0775,4.65
5.595,1.9983,0.0779,4.72
5.845,2.0045,0.0784,4.75
5.845,2.0087,0.0787,4.75
5.845,2.013,0.0791,4.66
5.845,2.0194,0.0796,4.66
5.845,2.0239,0.08,4.56
6.095,2.0282,0.0803,4.67
6.095,2.0348,0.0808,4.59
6.095,2.0392,0.0812,4.55
6.095,2.0432,0.0815,4.48
6.095,2.0496,0.082,4.48
6.345,2.0538,0.0824,4.41
6.345,2.0581,0.0827,4.43
6.345,2.0644,0.0832,4.57
6.345,2.0685,0.0835,4.62
6.345,2.0727,0.0839,4.75
6.595,2.079,0.0844,4.74
6.595,2.083,0.0847,4.97
6.595,2.0892,0.0853,5.11
6.595,2.0931,0.0856,5.01
6.595,2.0974,0.086,5.13
6.845,2.1039,0.0865,4.88
6.845,2.1081,0.0869,5.16
6.845,2.1124,0.0873,5.14
6.845,2.1188,0.0879,4.94
6.845,2.1231,0.0882,4.75
7.095,2.1274,0.0886,4.77
7.095,2.1338,0.0891,4.56
7.095,2.138,0.0894,4.58
7.095,2.1424,0.0898,4.42
7.095,2.1488,0.0903,4.42
7.345,2.1532,0.0906,4.44
7.345,2.1575,0.091,4.46
7.345,2.164,0.0915,4.52
7.345,2.1682,0.0918,4.49
7.345,2.1724,0.0921,4.6
7.595,2.1788,0.0927,4.65
7.595,2.183,0.093,4.66
7.595,2.1872,0.0933,4.67
7.595,2.1935,0.0938,4.61
7.595,2.1977,0.0942,4.91
7.845,2.2019,0.0946,4.94
7.845,2.2082,0.0951,4.79
7.845,2.2126,0.0955,4.94
7.845,2.217,0.0958,4.85
7.845,2.2234,0.0964,4.89
8.095,2.2278,0.0968,4.78
8.095,2.2322,0.0971,4.63
8.095,2.2366,0.0975,4.6
8.095,2.243,0.098,4.5
8.095,2.2473,0.0983,4.65
8.345,2.2516,0.0987,4.49
8.345,2.258,0.0992,4.63
8.345,2.2622,0.0996,4.76
8.345,2.2664,0.0999,4.88
8.345,2.2727,0.1005,4.9
8.595,2.277,0.1008,5.16
8.595,2.2813,0.1012,5.21
8.595,2.2874,0.1018,5.24
8.595,2.2917,0.1022,5.3
8.595,2.296,0.1026,5.31
8.845,2.3023,0.1032,5.4
8.845,2.3065,0.1036,5.35
8.845,2.3125,0.1041,5.29
8.845,2.3169,0.1045,5.22
8.845,2.3211,0.1049,5.24
9.095,2.3274,0.1055,5.4
9.095,2.3317,0.1059,5.4
9.095,2.336,0.1063,5.11
9.095,2.3426,0.1069,5.07
9.095,2.3469,0.1073,5.2
9.345,2.3512,0.1077,5.06
9.345,2.3578,0.1082,4.93
9.345,2.3621,0.1086,4.96
9.345,2.3663,0.109,4.98
9.345,2.3705,0.1094,5.03
9.595,2.3769,0.1099,4.98
9.595,2.3811,0.1103,5.11
9.595,2.3852,0.1107,5.19
9.595,2.3915,0.1112,5.46
9.595,2.3957,0.1116,5.48
9.845,2.3999,0.112,5.41
9.845,2.4061,0.1126,5.58
9.845,2.4105,0.1131,5.61
9.845,2.4169,0.1137,5.55
9.845,2.4212,0.1141,5.46
10.095,2.4253,0.1145,5.39
10.095,2.4318,0.1151,5.21
10.095,2.4361,0.1155,5.22
10.095,2.4403,0.1159,5.17
10.095,2.4469,0.1165,5.13
10.345,2.4512,0.1169,5.08
10.345,2.4554,0.1172,5.13
10.345,2.4617,0.1178,5.2
10.345,2.4658,0.1182,5.18
10.345,2.4702,0.1186,5.31
10.595,2.4767,0.1192,5.43
10.595,2.4808,0.1196,5.36
10.595,2.4852,0.12,5.42
10.595,2.4914,0.1206,5.49
10.595,2.4957,0.121,5.61
10.845,2.4998,0.1214,5.58
10.845,2.506,0.122,5.44
10.845,2.5103,0.1224,5.48
10.845,2.5145,0.1228,5.44
10.845,2.5208,0.1234,5.64
11.095,2.525,0.1238,5.65
11.095,2.5293,0.1243,5.56
11.095,2.5358,0.1249,5.61
11.095,2.5402,0.1253,5.68
11.095,2.5446,0.1258,5.68
11.345,2.5511,0.1264,5.5
11.345,2.5554,0.1268,5.45
11.345,2.5597,0.1272,5.48
11.345,2.5661,0.1279,5.33
11.345,2.5703,0.1282,5.37
11.595,2.5746,0.1287,5.45
11.595,2.5808,0.1293,5.47
11.595,2.585,0.1297,5.69
11.595,2.5892,0.1301,5.76
11.595,2.5956,0.1307,5.86
11.845,2.5999,0.1312,5.93
11.845,2.6042,0.1316,6.01
11.845,2.6084,0.1321,6.16
11.845,2.6149,0.1328,6.08
11.845,2.6191,0.1332,5.89
12.095,2.6234,0.1336,5.88
12.095,2.6298,0.1343,5.7
12.095,2.634,0.1347,5.8
12.095,2.6383,0.1351,5.75
12.095,2.6447,0.1358,5.61
12.345,2.6489,0.1362,5.62
12.345,2.6533,0.1366,5.61
12.345,2.6598,0.1373,5.54
12.345,2.6639,0.1377,5.56
12.345,2.6683,0.1381,5.59
12.595,2.6747,0.1387,5.62
12.595,2.6791,0.1392,5.65
12.595,2.6834,0.1396,5.62
12.595,2.6897,0.1402,5.89
12.595,2.6936,0.1406,5.8
12.845,2.6998,0.1413,5.79
12.845,2.7038,0.1417,6.03
12.845,2.7079,0.1421,5.98
12.845,2.7141,0.1428,6.08
12.845,2.7183,0.1432,6.08
13.095,2.7226,0.1437,6.09
13.095,2.7291,0.1443,6.18
13.095,2.7334,0.1448,6.12
13.095,2.7377,0.1453,6.14
13.095,2.7443,0.146,5.95
13.345,2.7486,0.1464,5.87
13.345,2.7529,0.1469,5.76
13.345,2.7594,0.1475,5.6
13.345,2.7635,0.1479,5.5
13.345,2.7679,0.1483,5.52
13.595,2.7742,0.149,5.6
13.595,2.7784,0.1494,5.7
13.595,2.7827,0.1498,5.8
13.595,2.789,0.1504,5.86
13.595,2.7933,0.1509,5.97
13.845,2.7976,0.1513,6.05
13.845,2.8036,0.152,6.27
13.845,2.808,0.1525,6.16
13.845,2.8122,0.1529,6.09
13.845,2.8185,0.1536,6.09
14.095,2.8228,0.154,6.07
14.095,2.8269,0.1545,5.88
14.095,2.833,0.1551,5.95
14.095,2.8373,0.1555,5.86
14.095,2.8412,0.156,6.01
14.345,2.8474,0.1566,5.95
14.345,2.8518,0.1571,5.88
14.345,2.8583,0.1577,5.82
14.345,2.8628,0.1582,5.74
14.345,2.8671,0.1586,5.73
14.595,2.8736,0.1593,5.68
14.595,2.8779,0.1597,5.65
14.595,2.8822,0.1601,5.79
14.595,2.8885,0.1608,5.77
14.595,2.8926,0.1612,5.82
14.845,2.8968,0.1616,6.09
14.845,2.903,0.1623,6.15
14.845,2.9071,0.1628,6.34
14.845,2.9114,0.1632,6.4
14.845,2.9156,0.1637,6.45
15.095,2.922,0.1644,6.54
15.095,2.9263,0.1649,6.45
15.095,2.9306,0.1654,6.65
15.095,2.9371,0.1662,6.5
15.095,2.9414,0.1666,6.44
15.345,2.9456,0.1671,6.33
15.345,2.952,0.1678,6.13
15.345,2.9563,0.1683,6.05
15.345,2.9606,0.1687,5.9
15.345,2.967,0.1694,5.99
15.595,2.9712,0.1698,6.06
15.595,2.9755,0.1703,6.05
15.595,2.9819,0.171,6.16
15.595,2.9862,0.1715,6.23
15.595,2.9905,0.1719,6.25
15.845,2.9969,0.1726,6.5
15.845,3.0012,0.1731,6.62
15.845,3.0055,0.1736,6.5
15.845,3.0117,0.1743,6.52
15.845,3.0159,0.1748,6.52
16.095,3.0201,0.1753,6.36
16.095,3.0264,0.176,6.34
16.095,3.0306,0.1764,6.41
16.095,3.0347,0.1769,6.37
16.095,3.0409,0.1776,6.43
16.345,3.0453,0.1781,6.42
16.345,3.0515,0.1788,6.39
16.345,3.0559,0.1793,6.26
16.345,3.0603,0.1798,6.36
16.345,3.0665,0.1805,6.25
16.596,3.0709,0.181,6.2
16.596,3.0752,0.1814,6.24
16.596,3.0813,0.1821,6.24
16.596,3.0855,0.1826,6.36
16.596,3.0898,0.183,6.42
16.846,3.096,0.1838,6.58
16.846,3.1001,0.1842,6.73
16.846,3.1044,0.1847,6.8
16.846,3.1107,0.1855,6.81
16.846,3.1149,0.186,7.01
17.095,3.1192,0.1865,7.04
17.095,3.1256,0.1873,7.01
17.095,3.1298,0.1878,6.99
17.095,3.134,0.1883,6.98
17.095,3.1401,0.1891,6.84
