Time (s),X (m),Y (m),Yaw (deg)
2.327,0.0,0.0,0.0
2.372,0.0,0.0,0.0
2.422,0.0,0.0,0.0
2.472,0.0,0.0,0.0
2.522,0.0,0.0,0.0
2.572,0.0,0.0,0.0
2.623,0.0,0.0,0.0
2.672,0.0,0.0,0.0
2.731,0.0,0.0,0.0
2.772,0.0,0.0,0.0
2.822,0.0,0.0,0.0
2.877,0.0,0.0,0.0
2.922,0.0,0.0,0.0
2.972,0.0,-0.0,-0.02
3.022,0.0,0.0,0.0
3.072,0.0,0.0,0.0
3.122,0.0,-0.0,-0.02
3.172,0.0001,-0.0,-0.04
3.222,0.0001,-0.0,-0.07
3.279,0.0003,-0.0,-0.15
3.322,0.0007,-0.0,-0.16
3.372,0.0012,-0.0,-0.13
3.422,0.0017,-0.0,-0.09
3.473,0.0024,-0.0,-0.05
3.522,0.0027,-0.0,-0.07
3.578,0.003,-0.0,-0.05
3.622,0.0036,-0.0,-0.05
3.672,0.0041,-0.0,-0.02
3.722,0.0047,-0.0,-0.05
3.772,0.005,-0.0,-0.07
3.822,0.0053,-0.0,-0.07
3.873,0.0057,-0.0,-0.05
3.922,0.0062,-0.0,0.0
3.98,0.0067,-0.0,0.04
4.022,0.0074,-0.0,0.04
4.072,0.0078,-0.0,0.04
4.122,0.0082,-0.0,0.0
4.172,0.0087,-0.0,0.05
4.222,0.0092,-0.0,0.07
4.272,0.0098,-0.0,0.07
4.322,0.0108,-0.0,0.04
4.372,0.0116,-0.0,0.05
4.422,0.0125,-0.0,0.07
4.472,0.0137,-0.0,0.07
4.522,0.0145,-0.0,0.07
4.572,0.0154,0.0,0.09
4.622,0.0165,0.0,0.09
4.672,0.0174,0.0,0.11
4.722,0.0183,0.0,0.11
4.772,0.0195,0.0,0.15
4.822,0.0204,0.0,0.15
4.872,0.0212,0.0,0.11
4.922,0.0225,0.0,0.16
4.972,0.0233,0.0,0.18
5.022,0.0242,0.0,0.18
5.072,0.0255,0.0,0.22
5.122,0.0264,0.0,0.24
5.172,0.0272,0.0,0.22
5.222,0.0285,0.0,0.18
5.272,0.0295,0.0,0.15
5.322,0.0304,0.0,0.16
5.372,0.0321,0.0,0.15
5.422,0.0333,0.0,0.16
5.472,0.0347,0.0001,0.18
5.522,0.0365,0.0001,0.18
5.572,0.0378,0.0001,0.13
5.622,0.0396,0.0001,0.15
5.672,0.041,0.0001,0.11
5.722,0.0422,0.0001,0.07
5.772,0.0444,0.0001,0.02
5.822,0.0461,0.0001,-0.0
5.872,0.0492,0.0001,0.04
5.922,0.0515,0.0001,-0.02
5.972,0.054,0.0001,-0.04
6.022,0.0578,0.0001,-0.07
6.072,0.0608,0.0001,-0.13
6.122,0.0637,0.0001,-0.15
6.172,0.0687,0.0,-0.18
6.222,0.072,0.0,-0.22
6.272,0.0753,0.0,-0.22
6.322,0.0806,0.0,-0.2
6.372,0.0842,-0.0,-0.2
6.422,0.0879,-0.0,-0.18
6.472,0.0936,-0.0,-0.15
6.522,0.0976,-0.0,-0.15
6.572,0.104,-0.0001,-0.04
6.622,0.1082,-0.0001,-0.05
6.672,0.1122,-0.0001,0.02
6.722,0.1186,-0.0001,0.05
